bldg_code;vulnerability
94081AQ0115_02;1.0
94081AQ0116_01;1.0
94081AQ0119_01;1.0
94081AQ0121_02;1.0
94081AQ0122_01;1.0
94081AQ0122_02;1.0
94081AQ0123_01;1.0
94081AQ0129_01;1.0
94081AQ0190_01;1.0
94081AQ0225_01;1.0
94081AQ0225_02;1.0
94081AQ0242_01;1.0
94081AQ0251_01;1.0
94081AQ0251_02;1.0
94081AQ0253_01;1.0
94081AQ0253_02;1.0
94081AQ0314_01;1.0
94081AQ0316_01;1.0
94081AQ0358_01;1.0
94081AR0124_01;1.0
94081AR0128_01;1.0
94081AR0129_01;1.0
94081AR0130_01;1.0
94081AR0131_01;1.0
94081AR0132_01;1.0
94081AR0148_01;1.0
94081AR0150_01;1.0
94081AR0153_01;1.0
94081AR0153_02;1.0
94081AR0154_01;1.0
94081AR0157_01;1.0
94081AR0159_01;1.0
94081AR0160_01;1.0
94081AR0161_01;1.0
94081AR0162_02;1.0
94081AR0207_01;1.0
94081AR0289_01;1.0
94081AR0340_01;1.0
94081AR0340_02;1.0
94081AR0390_01;1.0
94081AR0392_01;1.0
94081AR0394_01;1.0
94081AR0394_02;1.0
94081AR0397_01;1.0
94081AR0399_01;1.0
94081AR0401_01;1.0
94081AR0413_01;1.0
94081AR0452_01;1.0
94081AR0456_01;1.0
94081AR0460_01;1.0
94081AR0460_02;1.0
94081AR0469_01;1.0
94081AR0502_01;1.0
94081AR0502_02;1.0
94081AR0503_01;1.0
94081AR0523_01;1.0
94081AR0523_02;1.0
94081AR0529_01;1.0
94081AR0532_01;1.0
94081AS0060_01;1.0
94081AS0115_03;1.0
94081AS0120_01;1.0
94081AS0121_02;1.0
94081AS0122_01;1.0
94081AS0126_01;1.0
94081AS0139_01;1.0
94081AS0162_01;1.0
94081AS0163_01;1.0
94081AS0309_01;1.0
94081AS0357_01;1.0
94081AS0369_01;1.0
94081AS0369_02;1.0
94081AS0370_01;1.0
94081AS0380_01;1.0
94081AS0398_01;1.0
94081AU0014_01;1.0
94081AU0020_01;1.0
94081AU0021_01;1.0
94081AU0022_01;1.0
94081AU0029_01;1.0
94081AU0030_01;1.0
94081AU0031_01;1.0
94081AU0032_01;1.0
94081AU0033_01;1.0
94081AU0034_01;1.0
94081AU0040_02;1.0
94081AU0047_01;1.0
94081AU0092_01;1.0
94081AU0092_02;1.0
94081AU0100_02;1.0
94081AU0104_01;1.0
94081AU0108_01;1.0
94081AU0111_01;1.0
94081AU0171_01;1.0
94081AU0171_03;1.0
94081AU0188_01;1.0
94081AU0205_01;1.0
94081AV0016_01;1.0
94081AV0017_01;1.0
94081BP0027_01;1.0
94081BP0027_02;1.0
94081BP0093_04;1.0
94081BP0100_02;2.0
94081BP0126_01;1.0
94081BP0134_01;1.0
94081BP0148_01;1.0
94081BP0150_02;1.0
94081BP0203_01;2.0
94081BP0207_01;1.0
94081BP0211_01;1.0
94081BQ0220_01;1.0
94081BQ0235_01;1.0
94081BT0134_01;1.0
94081BT0134_03;1.0
94081BT0134_04;1.0
94081BT0140_01;1.0
