ID;Descrizione;PK;x;y;z
Profilo Progetto;Profilo Progetto;2121058.00;1660948.05;8178225.64;-12.47
Profilo Progetto;Profilo Progetto;2121068.00;1660939.22;8178220.94;-12.42
Profilo Progetto;Profilo Progetto;2121078.00;1660930.31;8178216.39;-12.37
Profilo Progetto;Profilo Progetto;2121088.00;1660921.33;8178211.99;-12.32
Profilo Progetto;Profilo Progetto;2121098.00;1660912.28;8178207.74;-12.26
Profilo Progetto;Profilo Progetto;2121108.00;1660903.16;8178203.64;-12.20
Profilo Progetto;Profilo Progetto;2121118.00;1660893.97;8178199.69;-12.11
Profilo Progetto;Profilo Progetto;2121128.00;1660884.72;8178195.89;-12.01
Profilo Progetto;Profilo Progetto;2121138.00;1660875.41;8178192.25;-11.89
Profilo Progetto;Profilo Progetto;2121148.00;1660866.04;8178188.77;-11.75
Profilo Progetto;Profilo Progetto;2121158.00;1660856.61;8178185.44;-11.60
Profilo Progetto;Profilo Progetto;2121168.00;1660847.12;8178182.27;-11.43
Profilo Progetto;Profilo Progetto;2121178.00;1660837.59;8178179.25;-11.23
Profilo Progetto;Profilo Progetto;2121188.00;1660828.00;8178176.40;-11.03
Profilo Progetto;Profilo Progetto;2121198.00;1660818.37;8178173.70;-10.80
Profilo Progetto;Profilo Progetto;2121208.00;1660808.70;8178171.17;-10.55
Profilo Progetto;Profilo Progetto;2121218.00;1660798.99;8178168.79;-10.29
Profilo Progetto;Profilo Progetto;2121228.00;1660789.23;8178166.58;-10.01
Profilo Progetto;Profilo Progetto;2121238.00;1660779.45;8178164.53;-9.71
Profilo Progetto;Profilo Progetto;2121248.00;1660769.63;8178162.65;-9.40
Profilo Progetto;Profilo Progetto;2121258.00;1660759.78;8178160.92;-9.06
Profilo Progetto;Profilo Progetto;2121268.00;1660749.90;8178159.35;-8.71
Profilo Progetto;Profilo Progetto;2121278.00;1660740.00;8178157.92;-8.34
Profilo Progetto;Profilo Progetto;2121288.00;1660730.09;8178156.62;-7.95
Profilo Progetto;Profilo Progetto;2121298.00;1660720.16;8178155.43;-7.57
Profilo Progetto;Profilo Progetto;2121308.00;1660710.22;8178154.33;-7.18
Profilo Progetto;Profilo Progetto;2121318.00;1660700.27;8178153.30;-6.80
Profilo Progetto;Profilo Progetto;2121328.00;1660690.32;8178152.34;-6.41
Profilo Progetto;Profilo Progetto;2121338.00;1660680.36;8178151.43;-6.03
Profilo Progetto;Profilo Progetto;2121348.00;1660670.40;8178150.55;-5.64
Profilo Progetto;Profilo Progetto;2121358.00;1660660.44;8178149.68;-5.25
Profilo Progetto;Profilo Progetto;2121368.00;1660650.48;8178148.82;-4.87
Profilo Progetto;Profilo Progetto;2121378.00;1660640.51;8178147.95;-4.48
Profilo Progetto;Profilo Progetto;2121388.00;1660630.55;8178147.09;-4.10
Profilo Progetto;Profilo Progetto;2121398.00;1660620.59;8178146.22;-3.71
Profilo Progetto;Profilo Progetto;2121408.00;1660610.62;8178145.36;-3.32
Profilo Progetto;Profilo Progetto;2121418.00;1660600.66;8178144.49;-2.94
Profilo Progetto;Profilo Progetto;2121428.00;1660590.70;8178143.61;-2.55
Profilo Progetto;Profilo Progetto;2121438.00;1660580.74;8178142.69;-2.17
Profilo Progetto;Profilo Progetto;2121448.00;1660570.79;8178141.72;-1.78
Profilo Progetto;Profilo Progetto;2121458.00;1660560.85;8178140.68;-1.39
Profilo Progetto;Profilo Progetto;2121468.00;1660550.91;8178139.56;-1.01
Profilo Progetto;Profilo Progetto;2121478.00;1660540.98;8178138.33;-0.62
Profilo Progetto;Profilo Progetto;2121488.00;1660531.08;8178136.99;-0.24
Profilo Progetto;Profilo Progetto;2121498.00;1660521.19;8178135.51;0.15
Profilo Progetto;Profilo Progetto;2121508.00;1660511.32;8178133.88;0.54
Profilo Progetto;Profilo Progetto;2121518.00;1660501.48;8178132.10;0.92
Profilo Progetto;Profilo Progetto;2121528.00;1660491.67;8178130.17;1.31
Profilo Progetto;Profilo Progetto;2121538.00;1660481.89;8178128.09;1.69
Profilo Progetto;Profilo Progetto;2121548.00;1660472.14;8178125.86;2.08
Profilo Progetto;Profilo Progetto;2121558.00;1660462.43;8178123.48;2.47
Profilo Progetto;Profilo Progetto;2121568.00;1660452.75;8178120.95;2.85
Profilo Progetto;Profilo Progetto;2121578.00;1660443.12;8178118.27;3.24
Profilo Progetto;Profilo Progetto;2121588.00;1660433.52;8178115.45;3.62
Profilo Progetto;Profilo Progetto;2121598.00;1660423.97;8178112.48;4.01
Profilo Progetto;Profilo Progetto;2121608.00;1660414.47;8178109.36;4.40
