ID;Descrizione;PK;x;y;z
Profilo Progetto;Profilo Progetto;2123648;1659108.46;8176713.68;4.72
Profilo Progetto;Profilo Progetto;2123658;1659098.58;8176712.15;4.54
Profilo Progetto;Profilo Progetto;2123668;1659088.65;8176710.95;4.34
Profilo Progetto;Profilo Progetto;2123678;1659078.69;8176710.09;4.13
Profilo Progetto;Profilo Progetto;2123688;1659068.71;8176709.55;3.9
Profilo Progetto;Profilo Progetto;2123698;1659058.71;8176709.35;3.65
Profilo Progetto;Profilo Progetto;2123708;1659048.71;8176709.47;3.38
Profilo Progetto;Profilo Progetto;2123718;1659038.72;8176709.93;3.1
Profilo Progetto;Profilo Progetto;2123728;1659028.75;8176710.72;2.8
Profilo Progetto;Profilo Progetto;2123738;1659018.82;8176711.84;2.51
