ID;Descrizione;PK;x;y;z
Falda (1);Falda;2150010.00;1656223.16;8175938.05;30.75
Falda (1);Falda;2150020.00;1656213.17;8175937.79;30.75
Falda (1);Falda;2150030.00;1656203.17;8175937.87;30.75
Falda (1);Falda;2150040.00;1656193.18;8175938.28;30.75
Falda (1);Falda;2150050.00;1656183.21;8175939.03;30.75
Falda (1);Falda;2150060.00;1656173.26;8175940.11;30.75
Falda (1);Falda;2150070.00;1656163.37;8175941.53;30.75
Falda (1);Falda;2150080.00;1656153.53;8175943.35;30.75
Falda (1);Falda;2150090.00;1656143.79;8175945.61;30.76
Falda (1);Falda;2150100.00;1656134.18;8175948.34;30.76
Falda (1);Falda;2150110.00;1656124.71;8175951.56;30.76
Falda (1);Falda;2150120.00;1656115.41;8175955.25;30.76
Falda (1);Falda;2150130.00;1656106.31;8175959.39;30.76
Falda (1);Falda;2150140.00;1656097.43;8175963.99;30.76
Falda (1);Falda;2150150.00;1656088.79;8175969.02;30.77
Falda (1);Falda;2150160.00;1656080.42;8175974.48;30.77
Falda (1);Falda;2150170.00;1656072.32;8175980.35;30.77
Falda (1);Falda;2150180.00;1656064.53;8175986.61;30.77
Falda (1);Falda;2150190.00;1656057.06;8175993.26;30.77
Falda (1);Falda;2150200.00;1656049.94;8176000.28;30.77
Falda (1);Falda;2150210.00;1656043.17;8176007.64;30.78
Falda (1);Falda;2150220.00;1656036.78;8176015.33;30.78
Falda (1);Falda;2150230.00;1656030.78;8176023.33;30.78
Falda (1);Falda;2150240.00;1656025.19;8176031.62;30.78
Falda (1);Falda;2150250.00;1656020.02;8176040.18;30.78
Falda (1);Falda;2150260.00;1656015.28;8176048.98;30.78
Falda (1);Falda;2150270.00;1656011.00;8176058.02;30.79
Falda (1);Falda;2150280.00;1656007.16;8176067.25;30.79
Falda (1);Falda;2150290.00;1656003.80;8176076.67;30.79
Falda (1);Falda;2150300.00;1656000.91;8176086.24;30.79
Falda (1);Falda;2150310.00;1655998.50;8176095.94;30.79
