bldg_code;vulnerability;sc_lev;damage_class;settlement_max;tilt_max;esp_h_max
94081CL0140_03;None;2.0;None;None;None;None
94081CL0140_04;None;1.0;None;None;None;None
94081CL0163_01;None;1.0;None;None;None;None
94002AJ0015_01;None;1.0;None;None;None;None
94002AJ0085_01;None;3.0;None;None;None;None
94002AJ0131_02;None;1.0;None;None;None;None
94002AK0073_02;None;1.0;None;None;None;None
940280D0026_02;None;1.0;None;None;None;None
940280L0004_01;None;1.0;None;None;None;None
940280L0100_01;None;1.0;None;None;None;None
940280L0100_03;None;3.0;None;None;None;None
940280N0114_01;None;1.0;None;None;None;None
940280N0114_02;None;1.0;None;None;None;None
94028BC0117_02;None;2.0;None;None;None;None
94028BC0117_03;None;3.0;None;None;None;None
94028BC0255_01;None;1.0;None;None;None;None
94028BC0277_01;None;2.0;None;None;None;None
94028BC0310_02;None;1.0;None;None;None;None
94028BD0057_02;None;2.0;None;None;None;None
94028BE0490_01;None;1.0;None;None;None;None
94028BE0490_02;None;1.0;None;None;None;None
94028BE0518_01;None;1.0;None;None;None;None
94081CJ0154_01;1.0;1.0;1.0;1.05809000607e-05;3.03141966751e-06;5.41177739515e-06
94081CJ0255_04;1.0;1.0;1.0;0.00953947783761;0.00103610491891;0.000330700395048
94081CJ0258_03;1.0;1.0;1.0;0.015296779699;0.000927941076249;0.000725991194848
94081CJ0048_01;1.0;1.0;1.0;0.0105793419558;0.000656063630654;0.000209089322475
94081CJ0100_01;1.0;2.0;1.0;0.0046067595772;0.000536095038707;0.000168206381102
94081CJ0100_04;1.0;2.0;1.0;2.40823846403e-05;5.8582188624e-06;8.95907284678e-06
94081CK0015_02;1.0;1.0;1.0;0.0110250841751;0.000634272059726;0.000267310113326
94081CK0016_01;1.0;1.0;1.0;0.0100920267762;0.000638781044307;0.000187122790174
94081CK0017_01;1.0;1.0;1.0;0.0129601610964;0.000638040101671;0.000420133127427
94081CK0018_01;1.0;1.0;1.0;0.012731824911;0.000600535142797;0.00041273115779
94081CK0019_01;1.0;1.0;1.0;0.0121975316502;0.000638781047421;0.000364178773468
94081CK0020_01;1.0;1.0;1.0;0.00984043881773;0.000634272057121;0.000171780139291
94081CK0021_01;1.0;1.0;1.0;0.00449452701086;0.000511072143087;0.000165049309705
94081CK0056_01;1.0;1.0;1.0;0.011108376141;0.00063878105686;0.000269623138518
94081CK0175_01;1.0;1.0;1.0;0.0128453397293;0.000600653679503;0.000416410995462
94081CK0190_01;1.0;1.0;1.0;0.000973149153623;0.000161398080881;0.00012218297769
94081CK0191_01;1.0;1.0;1.0;0.00100838642234;0.000166285441777;0.000124306589392
94081CK0203_01;1.0;1.0;1.0;0.00597094332345;0.000596276684449;0.000167704612011
94081CJ0049_01;1.0;1.0;1.0;0.0130279082908;0.000653624672828;0.000422206852097
94081CK0014_01;1.0;1.0;1.0;0.00473084625599;0.000525399842264;0.000169213439613
