file_name;bldg_code;parcel;bldg_no;sc_lev;z_dem;z_top_tun;overburden_tun_dem;depth_fondation;z_fondation;overburden_tun_bldg;d_min_range;angle_bldg_tun;stories_underground_no;stories_overground_no;nb_de_niveaux;sc_vbr_lev;footprint;height_overground;typology;pk_min;pk_max;d_min;d_max
94081CL0043_01_SEN_ind01.pdf;94081CL0043_01;94081CL0043;1;1;35;18;17;2;33;15;D > 50m;entre 60 et 90;1;0;1;2;9 X 9;3;building;;;;
94081CL0044_01_SEN_ind01.pdf;94081CL0044_01;94081CL0044;1;1;35;18;17;2;33;15;D > 50m;entre 60 et 90;1;0;0;2;9 X 8;3;building;;;;
94081CL0059_01_SEN_ind01.pdf;94081CL0059_01;94081CL0059;1;1;35;18;17;2;33;15;D > 50m;entre 60 et 90;1;0;0;2;11 X 5;3;building;;;;
94081CL0060_01_SEN_ind01.pdf;94081CL0060_01;94081CL0060;1;1;35;18;17;2;33;15;D > 50m;entre 60 et 90;1;0;1;2;10 X 8;3;building;;;;
94081CL0062_01_SEN_ind01.pdf;94081CL0062_01;94081CL0062;1;1;35;18;17;1;34;16;D > 50m;entre 60 et 90;1;0;1;2;10 X 9;5;building;;;;
94081CL0063_01_SEN_ind01.pdf;94081CL0063_01;94081CL0063;1;1;35;18;17;2;33;15;40m < D <= 50m;entre 60 et 90;1;0;1;2;9 X 8;5;building;;;;
94081CL0063_02_SEN_ind01.pdf;94081CL0063_02;94081CL0063;2;2;35;18;17;0;35;17;D > 50m;entre 60 et 90;0;0;0;1;10 X 4;2;building;;;;
94081CL0068_01_SEN_ind01.pdf;94081CL0068_01;94081CL0068;1;1;35;17;18;2;33;16;30m < D <= 40m;entre 60 et 90;1;0;0;2;8 X 4;3;building;;;;
94081CL0069_01_SEN_ind01.pdf;94081CL0069_01;94081CL0069;1;1;35;18;17;2;33;15;30m < D <= 40m;entre 60 et 90;1;0;1;2;10 X 10;6;building;;;;
94081CL0070_01_SEN_ind01.pdf;94081CL0070_01;94081CL0070;1;1;35;18;17;0;35;17;40m < D <= 50m;entre 60 et 90;0;1;1;2;8 X 6;8;building;;;;
94081CL0070_02_SEN_ind01.pdf;94081CL0070_02;94081CL0070;2;1;35;18;17;0;35;17;D > 50m;entre 60 et 90;0;1;1;2;8 X 6;6;building;;;;
94081CL0072_01_SEN_ind01.pdf;94081CL0072_01;94081CL0072;1;1;35;18;17;2;33;15;D > 50m;entre 60 et 90;1;1;0;2;13 X 10;6;building;;;;
94081CL0073_01_SEN_ind01.pdf;94081CL0073_01;94081CL0073;1;1;35;18;17;2;33;15;D > 50m;entre 60 et 90;1;0;1;2;9 X 8;3;building;;;;
94081CL0074_01_SEN_ind01.pdf;94081CL0074_01;94081CL0074;1;1;35;18;17;2;33;15;D > 50m;entre 60 et 90;1;;1;2;10 X 8;6;building;;;;
94081CL0076_01_SEN_ind01.pdf;94081CL0076_01;94081CL0076;1;2;35;18;17;0;35;17;D > 50m;entre 60 et 90;0;0;0;1;13 X 8;3;building;;;;
94081CL0101_01_SEN_ind01.pdf;94081CL0101_01;94081CL0101;1;1;35;18;17;0;35;17;D > 50m;entre 60 et 90;0;0;0;2;11 X 9;3;building;;;;
94081CL0102_01_SEN_ind01.pdf;94081CL0102_01;94081CL0102;1;1;35;18;17;2;33;15;D > 50m;entre 60 et 90;1;0;1;2;10 X 9;6;building;;;;
94081CL0104_01_SEN_ind01.pdf;94081CL0104_01;94081CL0104;1;2;35;17;18;2;33;16;40m < D <= 50m;entre 60 et 90;1;0;1;1;10 X 8;5;building;;;;
94081CL0105_01_SEN_ind01.pdf;94081CL0105_01;94081CL0105;1;1;35;17;18;2;33;16;30m < D <= 40m;entre 60 et 90;1;1;1;2;9 X 8;6;building;;;;
94081CL0106_01_SEN_ind01.pdf;94081CL0106_01;94081CL0106;1;1;35;17;18;2;33;16;40m < D <= 50m;entre 60 et 90;1;2;1;2;10 X 9;8;building;;;;
94081CL0108_01_SEN_ind01.pdf;94081CL0108_01;94081CL0108;1;1;35;17;18;2;33;16;30m < D <= 40m;entre 60 et 90;1;1;1;2;10 X 8;7;building;;;;
94081CL0110_01_SEN_ind01.pdf;94081CL0110_01;94081CL0110;1;1;35;17;18;2;33;16;0m < D <= 10m;entre 60 et 90;1;0;1;2;13 X 9;3;building;;;;
94081CL0110_02_SEN_ind01.pdf;94081CL0110_02;94081CL0110;2;1;35;17;18;0;35;18;0m < D <= 10m;<30;0;0;0;2;17 X 8;3;building;;;;
94081CL0140_01_SEN_ind01.pdf;94081CL0140_01;94081CL0140;1;1;35;16;19;3;32;16;0m < D <= 10m;entre 60 et 90;1;0;1;2;18 X 10;4;building;;;;
94081CL0140_02_SEN_ind01.pdf;94081CL0140_02;94081CL0140;2;2;35;16;19;0;35;19;Au dessus de l'axe;entre 30 et 60;0;1 partiel);1;1;55 X 11;7;building;;;;
94081CL0140_03_SEN_ind01.pdf;94081CL0140_03;94081CL0140;3;2;35;16;19;0;35;19;30m < D <= 40m;<30;0;2;1;1;50 X 11;9;building;;;;
94081CL0140_04_SEN_ind01.pdf;94081CL0140_04;94081CL0140;4;1;35;16;19;3;32;16;30m < D <= 40m;entre 60 et 90;1 (non accessible);1;1;2;18 X 7;6;building;;;;
94081CL0147_01_SEN_ind01.pdf;94081CL0147_01;94081CL0147;1;1;35;18;17;1;34;16;D > 50m;entre 60 et 90;1;1;1;2;11 X 10;5;building;;;;
94081CL0148_01_SEN_ind01.pdf;94081CL0148_01;94081CL0148;1;1;35;18;17;0;35;17;D > 50m;entre 60 et 90;0;1;1;2;23 X 10;6;building;;;;
94081CL0153_01_SEN_ind01.pdf;94081CL0153_01;94081CL0153;1;1;35;19;16;2;33;14;D > 50m;entre 60 et 90;1;0;1;2;13 X 9;4;building;;;;
94081CL0158_01_SEN_ind01.pdf;94081CL0158_01;94081CL0158;1;1;35;17;18;0;35;18;20m < D <= 30m;entre 60 et 90;0;1;0;2;21 X 5;6;building;;;;
94081CL0159_01_SEN_ind01.pdf;94081CL0159_01;94081CL0159;1;1;35;17;18;3;32;15;30m < D <= 40m;entre 60 et 90;1;0;0;2;14 X 14;3;building;;;;
94081CL0160_01_SEN_ind01.pdf;94081CL0160_01;94081CL0160;1;1;35;18;17;2;33;15;D > 50m;entre 60 et 90;1;0;1;2;11 X 9;4;building;;;;
94081CL0161_01_SEN_ind01.pdf;94081CL0161_01;94081CL0161;1;1;35;18;17;0;35;17;D > 50m;entre 60 et 90;0;0;1;2;18 X 11;4;building;;;;
94081CL0162_01_SEN_ind01.pdf;94081CL0162_01;94081CL0162;1;1;35;17;18;1;34;17;20m < D <= 30m;entre 60 et 90;1;0;1;2;10 X 8;5;building;;;;
94081CL0163_01_SEN_ind01.pdf;94081CL0163_01;94081CL0163;1;1;35;17;18;0;35;18;10m < D <= 20m;entre 60 et 90;0;0;1;2;13 X 8;3;building;;;;
94081CL0164_01_SEN_ind01.pdf;94081CL0164_01;94081CL0164;1;1;35;19;16;2;33;14;D > 50m;entre 60 et 90;1;0;1;2;6 X 5;3;building;;;;
94081CL0165_01_SEN_ind01.pdf;94081CL0165_01;94081CL0165;1;1;35;19;16;2;33;14;D > 50m;entre 60 et 90;1;1;1;2;10 X 8;6;building;;;;
94081CL0166_01_SEN_ind01.pdf;94081CL0166_01;94081CL0166;1;1;35;18;17;2;33;15;D > 50m;entre 60 et 90;1;1;1;2;8 X 6;6;building;;;;
94081CL0168_01_SEN_ind01.pdf;94081CL0168_01;94081CL0168;1;1;34;18;16;0;34;16;40m < D <= 50m;entre 60 et 90;0;1;1;2;10 X 9;5;building;;;;
94081CL0169_01_SEN_ind01.pdf;94081CL0169_01;94081CL0169;1;1;35;17;18;2;33;16;D > 50m;entre 60 et 90;1;0;1;2;8 X 8;5;building;;;;
94081CL0170_02_SEN_ind01.pdf;94081CL0170_02;94081CL0170;2;1;35;19;16;2;33;14;D > 50m;entre 60 et 90;1;1;1;2;9 X 6;7;building;;;;
94081CL0171_01_SEN_ind01.pdf;94081CL0171_01;94081CL0171;1;1;35;18;17;2;33;15;40m < D <= 50m;entre 60 et 90;1;1;1;2;11 X 9;8;building;;;;
94081CL0174_01_SEN_ind01.pdf;94081CL0174_01;94081CL0174;1;1;35;18;17;2;33;15;40m < D <= 50m;entre 60 et 90;1;1;1;2;9 X 8;6;building;;;;
94081CL0175_01_SEN_ind01.pdf;94081CL0175_01;94081CL0175;1;1;35;18;17;2;33;15;20m < D <= 30m;entre 60 et 90;1;0;1;2;11 X 8;6;building;;;;
94081CM0018_01_SEN_ind01.pdf;94081CM0018_01;94081CM0018;1;1;35;16;19;3;32;16;30m < D <= 40m;entre 60 et 90;1;1;1;2;10 X 6;5;building;;;;
94081CM0019_01_SEN_ind01.pdf;94081CM0019_01;94081CM0019;1;1;35;16;19;3;32;16;20m < D <= 30m;entre 60 et 90;1;1;1;2;7 X 7;6;building;;;;
94081CM0019_02_SEN_ind01.pdf;94081CM0019_02;94081CM0019;2;2;35;16;19;0;35;19;40m < D <= 50m;entre 60 et 90;0;1;1;1;19 X 9;6;building;;;;
94081CM0020_01_SEN_ind01.pdf;94081CM0020_01;94081CM0020;1;1;35;16;19;2;33;17;20m < D <= 30m;entre 60 et 90;1;0;1;2;11 X 9;4;building;;;;
94081CM0021_01_SEN_ind01.pdf;94081CM0021_01;94081CM0021;1;1;35;16;19;0;35;19;40m < D <= 50m;entre 60 et 90;0;0;1;2;11 X 9;4;building;;;;
94081CM0022_01_SEN_ind01.pdf;94081CM0022_01;94081CM0022;1;2;35;16;19;2;33;17;40m < D <= 50m;entre 60 et 90;1;1;1;1;15 X 7;5;building;;;;
94081CM0024_01_SEN_ind01.pdf;94081CM0024_01;94081CM0024;1;2;35;16;19;0;35;19;40m < D <= 50m;<30;0;0;0;1;12 X 3;2;building;;;;
94081CM0024_02_SEN_ind01.pdf;94081CM0024_02;94081CM0024;2;1;35;16;19;0;35;19;40m < D <= 50m;entre 60 et 90;0;0;0;2;3 X 2;2;building;;;;
94081CM0025_01_SEN_ind01.pdf;94081CM0025_01;94081CM0025;1;2;35;16;19;0;35;19;D > 50m;<30;0;1;1;1;16 X 6;4;building;;;;
94081CM0065_01_SEN_ind01.pdf;94081CM0065_01;94081CM0065;1;1;35;17;18;3;32;15;40m < D <= 50m;entre 30 et 60;1;0;1;2;12 X 7;6;building;;;;
94081CM0065_02_SEN_ind01.pdf;94081CM0065_02;94081CM0065;2;1;35;17;18;0;35;18;D > 50m;entre 60 et 90;0;0;0;2;26 X 8;4;building;;;;
94081CM0075_01_SEN_ind01.pdf;94081CM0075_01;94081CM0075;1;1;35;17;18;3;32;15;D > 50m;entre 30 et 60;1;2;1;2;16 X 11;9;building;;;;
94081CM0093_01_SEN_ind01.pdf;94081CM0093_01;94081CM0093;1;1;35;17;18;0;35;18;D > 50m;entre 30 et 60;0;1;0;2;25 X 11;6;building;;;;
94081CM0098_01_SEN_ind01.pdf;94081CM0098_01;94081CM0098;1;1;35;17;18;3;32;15;40m < D <= 50m;entre 30 et 60;1;3;1;2;7 X 7;11;building;;;;
94081CM0098_02_SEN_ind01.pdf;94081CM0098_02;94081CM0098;2;2;35;17;18;2;33;16;40m < D <= 50m;<30;1;1;1;1;28 X 5;6;building;;;;
94081CM0115_01_SEN_ind01.pdf;94081CM0115_01;94081CM0115;1;1;39;1;38;0;39;38;D > 50m;<30;0;0;0;2;31 X 31;4;building;;;;
94081CM0115_02_SEN_ind01.pdf;94081CM0115_02;94081CM0115;2;1;38;1;37;4;34;33;D > 50m;<30;1;1;1;2;110 X 11;10;building;;;;
94081CM0115_03_SEN_ind01.pdf;94081CM0115_03;94081CM0115;3;1;39;1;38;5;34;33;20m < D <= 30m;<30;1;0;0;2;31 X 20;8;building;;;;
94081CM0115_04_SEN_ind01.pdf;94081CM0115_04;94081CM0115;4;1;38;5;33;4;34;29;10m < D <= 20m;entre 30 et 60;1;1;0;2;40 X 30;12;building;;;;
94081CM0115_05_SEN_ind01.pdf;94081CM0115_05;94081CM0115;5;1;40;3;37;0;40;37;Au dessus de l'axe;entre 60 et 90;0;0;0;2;25 X 10;4;building;;;;
94081CM0142_01_SEN_ind01.pdf;94081CM0142_01;94081CM0142;1;1;35;16;19;2;33;17;40m < D <= 50m;entre 60 et 90;1;1;1;2;6 X 4;5;building;;;;
94081CM0156_01_SEN_ind01.pdf;94081CM0156_01;94081CM0156;1;1;35;17;18;0;35;18;40m < D <= 50m;entre 30 et 60;0;0;0;2;6 X 3;3;building;;;;
94081CM0156_02_SEN_ind01.pdf;94081CM0156_02;94081CM0156;2;1;35;35;35;0;35;non dtermin;D > 50m;entre 30 et 60;0;0;0;2;7 X 6;3;building;;;;
94081CM0156_03_SEN_ind01.pdf;94081CM0156_03;94081CM0156;3;1;35;35;35;0;35;non dtermin;D > 50m;entre 30 et 60;0;0;1;2;19 X 8;3;building;;;;
94081CN0002_01_SEN_ind01.pdf;94081CN0002_01;94081CN0002;1;2;45;6;39;4;41;35;20m < D <= 30m;<30;1;4;0;1;30 X 16;14;building;;;;
94081CN0002_02_SEN_ind01.pdf;94081CN0002_02;94081CN0002;2;2;45;6;39;0;45;39;30m < D <= 40m;<30;0;0;0;1;11 X 5;3;building;;;;
94081CN0002_03_SEN_ind01.pdf;94081CN0002_03;94081CN0002;3;2;45;6;39;4;41;35;40m < D <= 50m;entre 60 et 90;1;4;0;1;12 X 10;14;building;;;;
94081CN0003_01_SEN_ind01.pdf;94081CN0003_01;94081CN0003;1;2;46;4;42;4;42;38;0m < D <= 10m;<30;1;4;0;1;30 X 16;14;building;;;;
94081CN0003_02_SEN_ind01.pdf;94081CN0003_02;94081CN0003;2;2;45;4;41;4;41;37;30m < D <= 40m;<30;1;4;0;1;11 X 10;14;building;;;;
94081CN0003_03_SEN_ind01.pdf;94081CN0003_03;94081CN0003;3;1;45;4;41;4;41;37;20m < D <= 30m;<30;1;0;0;2;8 X 8;4;building;;;;
94081CN0032_01_SEN_ind01.pdf;94081CN0032_01;94081CN0032;1;1;42;5;37;4;38;33;30m < D <= 40m;entre 60 et 90;1;1;1;2;16 X 12;8;building;;;;
94081CN0032_02_SEN_ind01.pdf;94081CN0032_02;94081CN0032;2;1;41;5;36;0;41;36;20m < D <= 30m;entre 60 et 90;0;0;0;2;15 X 7;3;building;;;;
