shapeid;FID;CAP;Parcella;ZonaCat;Nome File;Codice Edi;Particella;No Edifici;Livello;Altitude d;Profondeur;Distance b;Angle entr;Nombre de;Nombre eta;Nb de nive;Nb ascense;Emprise;Hauteur su;Commentair;Addresse;Commune;addrtype;addrlocat;file_name;parcel;bldg_no;sc_lev;z_dem;z_top_tun;overburden;depth_fond;z_fondatio;overburde2;d_min_rang;angle_bldg;stories_un;stories_ov;nb_de_nive;lift_no;footprint;height_ove;comments;pk_min;pk_max;d_min;d_max;pk_min;pk_max;d_min;d_max
1;38;94028;310;BC;C:\Fiches\94028BC0310_08_SEN_ind01.pdf;94028BC0310_08;94028BC0310;08;sensibile;35;26;9;3;32;6;30m < D <= 40m;<30;1;1;0;1;25 X 20;Rue Gustave Eiffel;94028 Creteil;94028BC0310_08_SEN_ind01.pdf;94028BC0310;8;2;35;26;9;3;32;6;30m < D <= 40m;<30;1;1;0;1;25 X 20;8;NULL;NULL;NULL;NULL;NULL;2122526.29043738;2122555.74797876;-63.7600012723973;-39.5219675288149
1.ring1;38;94028;310;BC;C:\Fiches\94028BC0310_08_SEN_ind01.pdf;94028BC0310_08;94028BC0310;08;sensibile;35;26;9;3;32;6;30m < D <= 40m;<30;1;1;0;1;25 X 20;Rue Gustave Eiffel;94028 Creteil;94028BC0310_08_SEN_ind01.pdf;94028BC0310;8;2;35;26;9;3;32;6;30m < D <= 40m;<30;1;1;0;1;25 X 20;8;NULL;NULL;NULL;NULL;NULL;2122536.1254164;2122546.31106613;-56.7464060667556;-47.8611774111159
2;41;94028;252;BF;C:\Fiches\94028BF0252_01_SEN_ind01.pdf;94028BF0252_01;94028BF0252;01;sensibile;35;13;22;Non dtermin;NULL;non dtermin;Au dessus de l'axe;entre 60 et 90;Non dtermin;Non dtermin;Non dtermin;Non dtermin;75 X 40;2 Rue Pasteur Vallery Radot; Creteil;94028 Creteil;94028BF0252_01_SEN_ind01.pdf;94028BF0252;1;2;35;13;22;Non dtermin;NULL;non dtermin;Au dessus de l'axe;entre 60 et 90;Non dtermin;Non dtermin;Non dtermin;Non dtermin;75 X 40;Non dtermin;NULL;NULL;NULL;NULL;NULL;2123537.13146615;2123609.03018941;4.53337146559017;61.726966373669
2.ring1;41;94028;252;BF;C:\Fiches\94028BF0252_01_SEN_ind01.pdf;94028BF0252_01;94028BF0252;01;sensibile;35;13;22;Non dtermin;NULL;non dtermin;Au dessus de l'axe;entre 60 et 90;Non dtermin;Non dtermin;Non dtermin;Non dtermin;75 X 40;2 Rue Pasteur Vallery Radot; Creteil;94028 Creteil;94028BF0252_01_SEN_ind01.pdf;94028BF0252;1;2;35;13;22;Non dtermin;NULL;non dtermin;Au dessus de l'axe;entre 60 et 90;Non dtermin;Non dtermin;Non dtermin;Non dtermin;75 X 40;Non dtermin;NULL;NULL;NULL;NULL;NULL;2123569.85998851;2123585.45515307;25.5929428726781;40.091416211874
3;43;94028;283;BF;C:\Fiches\94028BF0283_05_SEN_ind01.pdf;94028BF0283_05;94028BF0283;05;sensibile;35;12;23;1;34;22;30m < D <= 40m;entre 60 et 90;1;5;0;1;130 X 100;NULL;94028 Creteil;94028BF0283_05_SEN_ind01.pdf;94028BF0283;5;2;35;12;23;1;34;22;30m < D <= 40m;entre 60 et 90;1;5;0;1;130 X 100;20;NULL;NULL;NULL;NULL;NULL;2123557.85274154;2123729.82984192;-211.733270524461;-8.71437025248005
3.ring1;43;94028;283;BF;C:\Fiches\94028BF0283_05_SEN_ind01.pdf;94028BF0283_05;94028BF0283;05;sensibile;35;12;23;1;34;22;30m < D <= 40m;entre 60 et 90;1;5;0;1;130 X 100;NULL;94028 Creteil;94028BF0283_05_SEN_ind01.pdf;94028BF0283;5;2;35;12;23;1;34;22;30m < D <= 40m;entre 60 et 90;1;5;0;1;130 X 100;20;NULL;NULL;NULL;NULL;NULL;2123675.99315074;2123682.2027219;-123.821689634224;-114.012712526874
3.ring2;43;94028;283;BF;C:\Fiches\94028BF0283_05_SEN_ind01.pdf;94028BF0283_05;94028BF0283;05;sensibile;35;12;23;1;34;22;30m < D <= 40m;entre 60 et 90;1;5;0;1;130 X 100;NULL;94028 Creteil;94028BF0283_05_SEN_ind01.pdf;94028BF0283;5;2;35;12;23;1;34;22;30m < D <= 40m;entre 60 et 90;1;5;0;1;130 X 100;20;NULL;NULL;NULL;NULL;NULL;2123642.40168704;2123648.09846421;-148.660660071212;-139.609406964134
3.ring3;43;94028;283;BF;C:\Fiches\94028BF0283_05_SEN_ind01.pdf;94028BF0283_05;94028BF0283;05;sensibile;35;12;23;1;34;22;30m < D <= 40m;entre 60 et 90;1;5;0;1;130 X 100;NULL;94028 Creteil;94028BF0283_05_SEN_ind01.pdf;94028BF0283;5;2;35;12;23;1;34;22;30m < D <= 40m;entre 60 et 90;1;5;0;1;130 X 100;20;NULL;NULL;NULL;NULL;NULL;2123599.33230569;2123605.45083793;-155.456475887759;-146.289843467344
4;45;94028;NULL;BF;C:\Fiches\94028BF0158_01_SEN_ind01.pdf;94028BF0158_01;94028BF0158;01;poco;35;8;27;4;31;23;0m < D <= 10m;entre 60 et 90;1;1;0;1;60 X 41;37 Rue de Valenton 94000 CRETEIL;94028 Creteil;94028BF0158_01_SEN_ind01.pdf;94028BF0158;1;1;35;8;27;4;31;23;0m < D <= 10m;entre 60 et 90;1;1;0;1;60 X 41;10;NULL;NULL;NULL;NULL;NULL;2123934.35385943;2123988.48222698;-21.5316359928274;34.0595950010243
4.ring1;45;94028;NULL;BF;C:\Fiches\94028BF0158_01_SEN_ind01.pdf;94028BF0158_01;94028BF0158;01;poco;35;8;27;4;31;23;0m < D <= 10m;entre 60 et 90;1;1;0;1;60 X 41;37 Rue de Valenton 94000 CRETEIL;94028 Creteil;94028BF0158_01_SEN_ind01.pdf;94028BF0158;1;1;35;8;27;4;31;23;0m < D <= 10m;entre 60 et 90;1;1;0;1;60 X 41;10;NULL;NULL;NULL;NULL;NULL;2123943.07994759;2123958.60483517;5.32842746468322;24.7131144295897
5;50;94081;NULL;CI;C:\Fiches\94081CI0010_01_SEN_ind01.pdf;94081CI0010_01;94081CI0010;01;poco;35;15;20;Non dtermin (btiment ferm);NULL;non dtermin;Au dessus de l'axe;entre 60 et 90;Non dtermin (btiment ferm);1;1;0;11 X 10;19; Rue de Choisy;94081 Vitry-sur-Seine;94081CI0010_01_SEN_ind01.pdf;94081CI0010;1;1;35;15;20;Non dtermin (btiment ferm);NULL;non dtermin;Au dessus de l'axe;entre 60 et 90;Non dtermin (btiment ferm);1;1;0;11 X 10;6;NULL;NULL;NULL;NULL;NULL;2126888.71169401;2126918.44699801;-20.5040799373383;-0.175531718706626
5.ring1;50;94081;NULL;CI;C:\Fiches\94081CI0010_01_SEN_ind01.pdf;94081CI0010_01;94081CI0010;01;poco;35;15;20;Non dtermin (btiment ferm);NULL;non dtermin;Au dessus de l'axe;entre 60 et 90;Non dtermin (btiment ferm);1;1;0;11 X 10;19; Rue de Choisy;94081 Vitry-sur-Seine;94081CI0010_01_SEN_ind01.pdf;94081CI0010;1;1;35;15;20;Non dtermin (btiment ferm);NULL;non dtermin;Au dessus de l'axe;entre 60 et 90;Non dtermin (btiment ferm);1;1;0;11 X 10;6;NULL;NULL;NULL;NULL;NULL;2126897.02593207;2126914.86941684;-16.1327062219865;-7.75934385764553
