WKT;bldg_code;Address;City;typology;pk_min;pk_max;d_min;d_max
MULTIPOLYGON (((1654388.3782591699 8176888.4185663303,1654398.0345044241 8176889.5183349121,1654399.262725601 8176889.6639739573,1654400.2276697699 8176881.8720395667,1654389.3413698084 8176880.4042436462,1654388.7972557426 8176885.7463243222,1654388.3782591699 8176888.4185663303)));94081AR0469_01;12, Rue Camelinat;94081 Vitry-sur-Seine;building;2129081.22232047;2129093.54308138;-21.1501149565409;-11.2242692395649
MULTIPOLYGON (((1655983.6326544234 8176046.7136888085,1655977.6587504593 8176043.9808219709,1655976.6265049246 8176043.5441669645,1655973.5203496707 8176050.3518995587,1655980.3051720939 8176053.4119636947,1655983.6326544234 8176046.7136888085)));94081CM0065_02;47 rue de Choisy;94081 Vitry-sur-Seine;building;2126979.53280842;2126989.5632079;125.67319897384;135.240094816814
MULTIPOLYGON (((1656029.9849050159 8176025.8872816516,1656022.0199919043 8176022.28045897,1656017.467814174 8176032.1019745246,1656021.4507048719 8176033.9609779017,1656025.433592903 8176035.819984124,1656029.9849050159 8176025.8872816516)));94081CM0020_01;39, Rue de Choisy;94081 Vitry-sur-Seine;building;2126934.84635585;2126946.85997706;101.057712458084;114.30177461212
MULTIPOLYGON (((1655258.4418806368 8176436.4581112955,1655251.7270256856 8176432.9535613749,1655232.9788076705 8176469.1663079644,1655233.1337309126 8176469.2429049192,1655239.5555448635 8176472.8609843124,1655258.4418806368 8176436.4581112955)));94081BP0027_01;26, Avenue Youri Gagarine;94081 Vitry-sur-Seine;building;2127955.42382979;2127997.02933996;-22.0887003199327;-14.1446078549621
MULTIPOLYGON (((1654421.9073141648 8176918.3910493422,1654423.4047445126 8176912.8187805191,1654420.5330670611 8176912.0638427492,1654420.3897624395 8176912.5098164277,1654419.4773656358 8176917.743703071,1654421.9073141648 8176918.3910493422)));94081AR0394_02;13, Rue Monsigny;94081 Vitry-sur-Seine;building;2129050.72530243;2129054.01054746;0.98930465755964;6.8958912079823
MULTIPOLYGON (((1654687.1681264851 8176965.8251666669,1654676.9161837057 8176961.0156393033,1654673.0157266709 8176969.2761816094,1654683.118913197 8176973.8645091774,1654683.5524987851 8176972.9713814016,1654687.1681264851 8176965.8251666669)));94081AS0121_02;8, Voie Bellini;94081 Vitry-sur-Seine;building;2128777.46447549;2128792.16782753;-16.6960330422143;-3.73910339479679
MULTIPOLYGON (((1654559.0643640982 8176988.1067145579,1654566.2932786604 8176991.6062431494,1654573.5212784719 8176994.9945878685,1654575.3262967784 8176991.0878646998,1654560.9437492338 8176984.310581441,1654559.0643640982 8176988.1067145579)));94081AS0060_01;48, Avenue du Moulin de Saquet;94081 Vitry-sur-Seine;building;2128883.34551393;2128899.10692293;26.0039890731607;32.612282671962
MULTIPOLYGON (((1656019.770465354 8175942.0115853064,1656023.3125245743 8175943.8740658555,1656023.673800735 8175943.0928158257,1656028.0817287555 8175933.6060447339,1656024.3926995206 8175931.744719713,1656019.770465354 8175942.0115853064)));94081CI0015_01;5, Rue Georges Martin;94081 Vitry-sur-Seine;building;2126943.6924722;2126951.34724462;10.600325070592;22.7765714878525
MULTIPOLYGON (((1655770.9731973289 8175862.3576037046,1655781.8255097317 8175868.6099903025,1655782.4706103797 8175867.4817537833,1655785.8124573759 8175861.6839698069,1655774.960136154 8175855.431575493,1655771.4814107569 8175861.5751721896,1655770.9731973289 8175862.3576037046)));94081CH0190_01;43, Rue Gretillat;94081 Vitry-sur-Seine;building;2127177.02313302;2127190.34003998;-70.285487508752;-56.081260108289
MULTIPOLYGON (((1654288.8812193214 8176851.0912912991,1654319.0833438365 8176860.5183067573,1654321.8813005788 8176852.266543203,1654294.1237117355 8176845.265894291,1654289.8108198571 8176847.9700542856,1654288.8812193214 8176851.0912912991)));94081AR0162_02;24, Rue Camlinat;94081 Vitry-sur-Seine;building;2129166.42022502;2129198.22445623;-24.7511050056932;-15.5403595833481
MULTIPOLYGON (((1654373.0710339907 8176885.4301482122,1654384.7011225843 8176888.0038357554,1654385.5618469312 8176885.4391815159,1654386.3400085035 8176881.7631961461,1654374.3434668093 8176879.3037034292,1654373.0710339907 8176885.4301482122)));94081AR0460_01;14, Rue Camelinat;94081 Vitry-sur-Seine;building;2129095.55715091;2129108.13209515;-16.9075191321299;-9.27238259187738
MULTIPOLYGON (((1656041.9699797772 8176073.3865506984,1656041.3725077647 8176073.1021381328,1656034.365372896 8176069.7991116205,1656033.8564275824 8176069.5584822493,1656029.5851464258 8176078.6549726622,1656032.4763676752 8176079.99994737,1656034.5345398588 8176081.0067682508,1656037.8534358763 8176082.5374155305,1656041.9699797772 8176073.3865506984)));94081CL0110_01;7, Avenue Ernest Havet;94081 Vitry-sur-Seine;building;2126919.31883202;2126931.27182094;147.310298802734;159.951432624797
MULTIPOLYGON (((1655234.4720727408 8176425.4191811718,1655181.3370062492 8176396.9337434694,1655178.3628915392 8176401.7392610805,1655177.1997784181 8176403.3054138804,1655230.9243990437 8176432.0084811319,1655234.4720727408 8176425.4191811718)));94081BP0027_02;Avenue Youri Gagarine;94081 Vitry-sur-Seine;building;2127953.88484708;2127963.94494833;-101.67835084822;-40.5268448620709
MULTIPOLYGON (((1654158.3965362422 8176789.4450304639,1654149.3595682837 8176789.5193114216,1654147.8175854199 8176789.6431881618,1654148.014802923 8176795.7576041296,1654158.4467997418 8176795.5606545024,1654158.3965362422 8176789.4450304639)));94081AQ0316_01;5, Voie Delibes;94081 Vitry-sur-Seine;building;2129339.39141857;2129351.33856455;-33.2567811065932;-24.0124293972004
MULTIPOLYGON (((1654726.7583294902 8176955.2732082698,1654730.3767316716 8176948.4606014881,1654722.8512813996 8176944.6296662083,1654719.3789213842 8176951.32989165,1654719.232885808 8176951.4422778459,1654726.7583294902 8176955.2732082698)));94081AV0016_01;31, Rue Edouard Til;94081 Vitry-sur-Seine;building;2128729.62097785;2128742.07693744;-28.8283701259812;-17.6564362952808
MULTIPOLYGON (((1654660.3030399873 8176996.1788586574,1654663.6247478751 8176989.0350174643,1654654.6236030422 8176984.4377653189,1654651.2284351827 8176991.5822092006,1654657.2781733873 8176994.6466405299,1654660.3030399873 8176996.1788586574)));94081AS0122_01;37, Avenue du Moulin de Saquet;94081 Vitry-sur-Seine;building;2128801.09826841;2128812.82584632;7.37815890065094;18.7878862689285
