SHAPEID;FID;CODE;PK_MIN;PK_MAX;D_MIN;D_MAX
1;94028BC0310_08_SEN_ind01.pdf;94028BC0310_08;2122526.29043738;2122555.74797876;-63.7600012723973;-39.5219675288149
2;94028BF0252_01_SEN_ind01.pdf;94028BF0252_01;2123537.13146615;2123609.03018941;4.53337146559017;61.726966373669
3;94028BF0283_05_SEN_ind01.pdf;94028BF0283_05;2123557.85274154;2123729.82984192;-211.733270524461;-8.71437025248005
4;94028BF0158_01_SEN_ind01.pdf;94028BF0158_01;2123934.35385943;2123988.48222698;-21.5316359928274;34.0595950010243
5;94081CI0010_01_SEN_ind01.pdf;94081CI0010_01;2126888.71169401;2126918.44699801;-20.5040799373383;-0.175531718706626
6;94081CM0115_02_SEN_ind01.pdf;94081CM0115_02;2127168.48478713;2127268.81523941;10.9827458531425;103.12985036751
7;94081BP0093_04_SEN_ind01.pdf;94081BP0093_04;2128207.25297127;2128328.62228351;-99.8274928730445;-8.40072284560982
8;94028BE0518_05_SEN_ind01.pdf;94028BE0518_05;2123276.74516641;2123360.59453502;-45.5471830102245;48.1994181430463
9;94028BE0644_01_SEN_ind01.pdf;94028BE0644_01;2123474.98266891;2123501.0517217;-77.3114482998865;-37.1097939625747
10;94076AZ0181_01_SEN_ind01.pdf;94076AZ0181_01;2129954.58270812;2129992.96317753;-68.6946562802738;-16.5545445733486
11;94046BI0001_03_SEN_ind02.pdf;94046BI0001_03;2124267.58918854;2124438.20047078;-74.1578646458682;89.8848028829834
12;94002AF0134_01_SEN_ind01.pdf;94002AF0134_01;2124722.89072209;2124736.14033298;26.0496214518781;31.4302109230799
13;94002AE0099_01_SEN_ind01.pdf;94002AE0099_01;2124835.6261915;2124845.63217828;-14.7093470655502;-4.71124107322876
14;94002AJ0062_01_SEN_ind01.pdf;94002AJ0062_01;2125154.74012075;2125171.02277541;-62.510246372725;-46.4763819390181
15;94002AF0031_01_SEN_ind01.pdf;94002AF0031_01;2124720.73402847;2124736.87965832;29.4586169654442;36.2338237883493
16;94002AF0057_01_SEN_ind01.pdf;94002AF0057_01;2124576.07160624;2124585.99903733;-26.9383798984152;-12.8241536740859
17;94002AE0174_01_SEN_ind01.pdf;94002AE0174_01;2124781.42448783;2124799.28681399;-38.2271837817009;-19.9340520107735
18;94002AJ0014_01_SEN_ind01.pdf;94002AJ0014_01;2125125.18877173;2125138.47847516;40.1690670826874;52.8405354306006
19;94002AE0084_01_SEN_ind01.pdf;94002AE0084_01;2124853.30889016;2124860.43535072;17.6781527415361;32.1036023167568
20;94002AK0073_01_SEN_ind01.pdf;94002AK0073_01;2125208.19792864;2125265.2635874;-69.359904152052;-41.6765653367244
21;94002AF0161_01_SEN_ind01.pdf;94002AF0161_01;2124556.39736471;2124568.35381247;-26.3207057947282;-17.1030953527352
