BLDG_CODE;PK_MIN;PK_MAX;D_MIN;D_MAX
94076AY0003_01;2129938.0;2129938.0;143.020813945823;157.610481468694
94028BC0310_08;2122527.02140025;2122556.47893916;-63.7600006918766;-39.5219674286228
94028BF0252_02;2123537.86242395;2123598.87505187;8.31551597580488;61.7269695955386
94028BF0283_05;2123558.58370633;2123730.56080273;-211.733269796566;-12.6698898098491
94028BF0158_01;2123935.08481897;2123989.21318958;-21.5316340765303;34.0595910235679
94081CI0010_01;2126889.44265634;2126919.17796543;-20.5040762154458;-0.175534958665963
94081CM0115_02;2127169.21574716;2127269.54620135;10.9827414898975;103.129849311549
94081BP0093_04;2128215.04869989;2128264.06549024;-99.8274872920934;-61.1449730131383
94028BE0518_01;2123277.47612901;2123361.32549424;-45.5471825181269;48.1994154543715
94028BE0644_01;2123475.71363151;2123501.78253127;-77.3114471521006;-37.1097962479814
94076AZ0181_01;2129938.0;2129938.0;23.988036870873;191.929774491345
94046BI0001_02;2124274.9366487;2124297.78586309;-69.5489146088116;0.716889510802223
94002AF0134_01;2124723.62168343;2124736.8712946;26.049621865355;31.4302120316155
94002AE0099_01;2124836.35715411;2124846.36314089;-14.7093420272494;-4.71124252120534
94002AJ0062_01;2125155.47108336;2125171.75373802;-62.5102469491987;-46.4763794838701
94002AF0031_01;2124721.46498967;2124737.61062107;29.4586184360231;36.233823612482
94002AF0057_01;2124576.80257031;2124586.73000162;-26.9383793408071;-12.8241560059298
94002AE0174_01;2124782.15545043;2124800.01777659;-38.2271845558289;-19.9340513169116
94002AJ0014_01;2125125.91973433;2125139.20943777;40.1690667460107;52.8405347173837
94002AE0084_01;2124854.03985277;2124861.16631143;17.6781470928446;32.1036007996405
94002AK0073_01;2125208.92889269;2125265.99455019;-69.3599091679191;-41.6765605557829
94002AF0161_01;2124557.12832731;2124569.0847771;-26.320704089437;-17.1030956258648
94002AF0156_01;2124597.74094103;2124610.06805597;-27.0252665867931;-17.2504643179665
94002AF0060_01;2124550.04514713;2124559.98226448;-0.0809073026630827;9.16357985189359
94002AE0175_01;2124807.82747585;2124830.86076286;-39.4129402669177;-10.6704138790861
94002AF0034_01;2124708.12684965;2124726.60980764;-19.5663165022275;-8.50711083892797
94002AE0083_01;2124861.91697665;2124872.94284248;20.0106505771294;32.7125994847292
94002AE0101_01;2124855.16908995;2124867.1128885;-14.999629010902;-3.85178947708536
