sc_lev;sc_descr;dc_lev;dc_descr;vc_lev_target;vc_lev;vc_descr;uz;d_uz_dx;d_ux_dx
1;low sensibility;1;architectural damage;1;1;low vulnerability - no monit no treat req;0.02;0.01;0.003
1;low sensibility;2;functional damage;1;2;medium vulnerability - monit req;0.05;0.015;0.005
1;low sensibility;3;strutural damage;1;3;high vulnerability - monit and treat req;999;999;999
2;medium sensibility;1;architectural damage;1;1;low vulnerability - no monit no treat req;0.02;0.005;0.0015
2;medium sensibility;2;functional damage;1;2;medium vulnerability - monit req;0.04;0.01;0.003
2;medium sensibility;3;strutural damage;1;3;high vulnerability - monit and treat req;999;999;999
3;high sensibility;1;architectural damage;2;2;medium vulnerability - monit req;0.007;0.001;0.0003
3;high sensibility;2;functional damage;2;3;high vulnerability - monit and treat req;0.02;0.003;0.001
3;high sensibility;3;strutural damage;2;3;high vulnerability - monit and treat req;999;999;999
