shapeid;file_name;parcel;bldg_no;sc_lev;z_dem;z_top_tun;overburden;depth_fond;z_fondatio;overburde2;d_min_rang;angle_bldg;stories_un;stories_ov;nb_de_nive;lift_no;footprint;height_ove;comments;pk_min;pk_max;d_min;d_max
45;94081CI0191_08_SEN_ind01.pdf;94081CI0191;8;1;35;17;18;0;35;18;30m < D <= 40m;<30;0;0;1;0;11 X 11;6;/;2150004.50381087;2151296.49052168;-43.3158741680001;350.675824909375
46;94081CH0162_01_SEN_ind01.pdf;94081CH0162;1;2;36;13;23;0;36;23;0m < D <= 10m;<30;0;1;1;0;10 X 7;7;5;NULL;2150172.65653352;2150179.16627706;-99.8689218677188;-89.1704258491885
47;94081CJ0068_01_SEN_ind01.pdf;94081CJ0068;1;1;35;21;14;2;33;12;D > 50m;entre 30 et 60;0;0;0;0;20 X 7;4;Prsence de sablire;2150937.66033626;2150958.14622844;-34.6063965660063;-14.9381541967139
48;94081CK0108_01_SEN_ind01.pdf;94081CK0108;1;1;35;19;16;1;34;15;D > 50m;entre 30 et 60;1;0;1;0;9 X 8;4;sous-sol semi-enterr;2150618.33328678;2150629.31633511;-15.6051378989929;-3.86636731751103
49;94081CL0174_01_SEN_ind01.pdf;94081CL0174;1;1;35;18;17;2;33;15;40m < D <= 50m;entre 60 et 90;1;1;1;0;9 X 8;6;/;2150448.48826647;2150463.29368542;22.3862779048838;35.1417571620684
50;94081CL0043_01_SEN_ind01.pdf;94081CL0043;1;1;35;18;17;2;33;15;D > 50m;entre 60 et 90;1;0;1;0;9 X 9;3;NULL;2150522.38171958;2150534.3206318;-16.8851698129576;-4.34814502127777
51;94081CM0093_01_SEN_ind01.pdf;94081CM0093;1;1;35;17;18;0;35;18;D > 50m;entre 30 et 60;0;1;0;0;25 X 11;6;Prsence de sablire;2150354.69526584;2150371.23045733;-55.3355545887408;-30.0298683777435
52;94081CJ0052_01_SEN_ind01.pdf;94081CJ0052;1;1;35;21;14;2;33;12;D > 50m;entre 30 et 60;1;2;1;0;10 X 8;8;Prsence de sablire;2150888.29392983;2150901.02098858;-39.2114382712563;-26.4494111971885
53;94081CJ0073_01_SEN_ind01.pdf;94081CJ0073;1;1;35;21;14;2;33;12;D > 50m;entre 30 et 60;1;0;1;NULL;8 X 4;5;Prsence de sablire;2150890.1873412;2150899.37233568;-5.02799072848703;3.50091932968112
54;94081CI0191_02_SEN_ind01.pdf;94081CI0191;2;1;35;17;18;0;35;18;0m < D <= 10m;<30;0;1;0;0;80 X 22;7;/;2151251.92183568;2151289.91357705;218.55860523919;299.380002128121
55;94081CK0018_01_SEN_ind01.pdf;94081CK0018;1;1;35;20;15;2;33;13;D > 50m;<30;1;0;1;0;6 X 6;6;NULL;2150798.23814846;2150808.33916388;-8.44440667588962;1.70177058846552
56;94081CK0106_01_SEN_ind01.pdf;94081CK0106;1;1;35;19;16;2;33;14;D > 50m;entre 30 et 60;1;1;1;0;9 X 8;7;/;2150632.12243797;2150643.77697375;3.30068495931403;14.6177487523362
57;94081CI0275_02_SEN_ind01.pdf;94081CI0275;2;1;35;16;19;0;35;19;Au dessus de l'axe;entre 60 et 90;0;0;0;0;5 X 4;3;/;2150159.94096777;2150166.33199536;10.6190402297706;16.8818393362514
58;94081CJ0154_01_SEN_ind01.pdf;94081CJ0154;1;1;35;22;13;0;35;13;D > 50m;entre 30 et 60;0;1;0;0;25 X 19;6;Prsence de sablire;2150963.35990145;2150995.59039425;45.3361696427446;76.910139579258
59;94081CI0109_01_SEN_ind01.pdf;94081CI0109;1;1;35;15;20;2;33;18;10m < D <= 20m;<30;1;0;1;0;10 X 9;5;NULL;2150151.51499115;2150163.18799857;-43.2662313909008;-29.6015842478831
60;94081CM0156_01_SEN_ind01.pdf;94081CM0156;1;1;35;17;18;0;35;18;40m < D <= 50m;entre 30 et 60;0;0;0;0;6 X 3;3;Prsence de sablire;2150289.62902848;2150296.58466207;-1.16927714876906;3.27450382970693
61;94081CK0175_01_SEN_ind01.pdf;94081CK0175;1;1;35;20;15;2;33;13;D > 50m;<30;1;1;1;0;6 X 6;7;Prsence de sablire;2150817.63660286;2150826.86536765;-0.723326038937457;8.28031699796196
62;94081CL0008_01_SEN_ind01.pdf;94081CL0008;1;1;35;19;16;0;35;16;D > 50m;entre 60 et 90;0;1;1;0;12 X 8;8;/;2150576.69605086;2150585.23000025;3.52442590327239;15.5755652204981
63;94081CM0024_02_SEN_ind01.pdf;94081CM0024;2;1;35;16;19;0;35;19;40m < D <= 50m;entre 60 et 90;0;0;0;0;3 X 2;2;Prsence de sablire;2150213.82144601;2150222.07034915;-24.0885945798152;-20.3925605047516
64;94081CM0156_02_SEN_ind01.pdf;94081CM0156;2;1;35;35;35;0;35;non dtermin;D > 50m;entre 30 et 60;0;0;0;0;7 X 6;3;Prsence de sablire;2150341.07666531;2150353.08859906;-36.7983770385291;-15.7819331033502
65;94081CK0187_01_SEN_ind01.pdf;94081CK0187;1;1;35;19;16;0;35;16;D > 50m;entre 30 et 60;0;1;1;0;10 X 8;6;/;2150632.23423957;2150643.45715736;-32.0520471127823;-19.1982284838901
66;94081DJ0088_04_SEN_ind01.pdf;94081DJ0088;4;1;35;17;18;2;33;16;10m < D <= 20m;<30;1;0;0;0;13 X 7;4;NULL;2151284.0337554;2151292.79321492;102.882299914208;110.140957859212
67;94081CH0313_01_SEN_ind01.pdf;94081CH0313;1;1;36;13;23;0;36;23;Au dessus de l'axe;entre 30 et 60;0;1;0;0;11 X 7;5;NULL;2150178.4382439;2150185.3107447;-97.4839348813604;-85.5359238776707
68;94081CI0190_02_SEN_ind01.pdf;94081CI0190;2;1;35;22;13;NULL;35;13;40m < D <= 50m;entre 60 et 90;0;NULL;NULL;NULL;42 X 14;5;Prsence de sablire;2150997.81981777;2151049.09141823;154.21905261879;166.359443380559
69;94081CK0014_01_SEN_ind01.pdf;94081CK0014;1;1;35;20;15;2;33;13;40m < D <= 50m;<30;1;0;1;0;8 X 8;5;/;2150850.01051668;2150860.98386757;16.648778805536;27.537886843067
70;94081CK0017_01_SEN_ind01.pdf;94081CK0017;1;1;35;20;15;2;33;13;D > 50m;<30;1;1;1;0;10 X 10;8;/;2150808.51400597;2150821.24072179;-9.62066807652986;3.24866392648355
71;94081CK0203_01_SEN_ind01.pdf;94081CK0203;1;1;35;20;15;2;33;13;40m < D <= 50m;entre 60 et 90;1;1;1;0;11 X 9;7;/;2150767.9554512;2150782.22986703;14.6207861264464;28.0037254091649
72;94081CK0013_01_SEN_ind01.pdf;94081CK0013;1;1;35;20;15;2;33;13;40m < D <= 50m;<30;1;0;1;0;8 X 7;5;/;2150856.54273378;2150867.4579165;21.2887916865767;32.083133323741
73;94081CK0092_01_SEN_ind01.pdf;94081CK0092;1;1;35;20;15;2;33;13;D > 50m;<30;1;1;1;0;9 X 9;7;/;2150682.36837324;2150695.07879746;17.4794016049984;28.5155823596724
74;94081CI0191_06_SEN_ind01.pdf;94081CI0191;6;1;35;17;18;0;35;18;30m < D <= 40m;<30;0;0;0;0;35 X 10;6;/;2150010.89049909;2150053.58130445;25.3933538143748;45.9254144806366
75;94081CI0026_01_SEN_ind01.pdf;94081CI0026;1;1;35;15;20;2;33;18;20m < D <= 30m;<30;1;1;1;0;8 X 8;5;Prsence de sablire;2150160.55661032;2150172.38117385;34.0059818403576;43.565851641092
76;94081CL0105_01_SEN_ind01.pdf;94081CL0105;1;1;35;17;18;2;33;16;30m < D <= 40m;entre 60 et 90;1;1;1;0;9 X 8;6;/;2150357.03170795;2150368.71079634;13.3101574668837;24.4442113364922
77;94081CI0191_09_SEN_ind01.pdf;94081CI0191;9;1;35;17;18;0;35;18;10m < D <= 20m;<30;0;0;0;0;16 X 7;3;/;2150013.53044472;2150021.78709661;-26.882255981717;-19.6910497502626
78;94081CI0191_03_SEN_ind01.pdf;94081CI0191;3;1;35;17;18;4;31;14;Au dessus de l'axe;entre 60 et 90;1;1;0;0;35 X 22;7;/;2151259.61979975;2151295.98271875;302.067309194256;332.898749965797
79;94081CL0166_01_SEN_ind01.pdf;94081CL0166;1;1;35;18;17;2;33;15;D > 50m;entre 60 et 90;1;1;1;0;8 X 6;6;/;2150423.07579353;2150433.00150757;12.5845129945677;21.7188731027867
80;94081CJ0067_01_SEN_ind01.pdf;94081CJ0067;1;1;35;21;14;2;33;12;D > 50m;entre 30 et 60;1;1;0;NULL;9 X 8;6;Prsence de sablire;2150931.69838643;2150942.70761546;-50.4563193040086;-39.5565235754175
81;94081CI0191_01_SEN_ind01.pdf;94081CI0191;1;1;35;17;18;0;35;18;0m < D <= 10m;<30;0;1;0;0;55 X 25;7;/;2151235.67082617;2151271.14740286;156.506150211794;216.10373898311
82;94081CK0053_01_SEN_ind01.pdf;94081CK0053;1;1;35;20;15;2;33;13;D > 50m;entre 60 et 90;1;0;1;0;9 X 9;5;/;2150740.06137014;2150751.63103388;2.28987680394305;13.524359213049
83;94081CL0147_01_SEN_ind01.pdf;94081CL0147;1;1;35;18;17;1;34;16;D > 50m;entre 60 et 90;1;1;1;0;11 X 10;5;/;2150402.58110028;2150415.59513023;-36.698866505448;-21.7620660970568
84;94081CJ0054_01_SEN_ind01.pdf;94081CJ0054;1;1;35;21;14;2;33;12;D > 50m;entre 30 et 60;1;1;1;0;12 X 8;6;Prsence de sablire;2150898.73229349;2150911.69203552;-54.0591527801394;-41.261368326981
85;94081CL0009_01_SEN_ind01.pdf;94081CL0009;1;1;35;19;16;0;35;16;D > 50m;entre 60 et 90;0;1;1;0;10 X 8;6;/;2150574.31119521;2150585.29458503;15.4062420911726;24.9816220603803
86;94081CK0021_01_SEN_ind01.pdf;94081CK0021;1;1;35;20;15;2;33;13;D > 50m;<30;1;1;1;0;10 X 5;5;/;2150780.03790525;2150787.27089848;-25.7500826510246;-17.1208323984292
87;94081CM0019_02_SEN_ind01.pdf;94081CM0019;2;2;35;16;19;0;35;19;40m < D <= 50m;entre 60 et 90;0;1;1;0;19 X 9;6;Prsence de sablire;2150243.18717185;2150250.35124717;-1.92954300283605;5.12449589092958
88;94081CL0170_02_SEN_ind01.pdf;94081CL0170;2;1;35;19;16;2;33;14;D > 50m;entre 60 et 90;1;1;1;0;9 X 6;7;/;2150528.46071601;2150540.62629742;22.1724810328893;32.6716263637572
89;94081CI0221_01_SEN_ind01.pdf;94081CI0221;1;2;35;17;18;0;35;18;D > 50 m;entre 60 et 90;0;1;0;0;30 X 14;7;/;2151309.96065828;2151339.55951472;177.60857035364;192.615966651497
90;94081CM0021_01_SEN_ind01.pdf;94081CM0021;1;1;35;16;19;0;35;19;40m < D <= 50m;entre 60 et 90;0;0;1;0;11 X 9;4;Prsence de sablire;2150241.56506352;2150246.68102848;-28.5150798961193;-16.0898677368495
91;94081CJ0051_01_SEN_ind01.pdf;94081CJ0051;1;1;35;21;14;2;33;12;D > 50m;entre 30 et 60;1;3;0;Non connus;14 X 8;9;Prsence de sablire;2150878.41398212;2150894.96512365;-32.4008875169222;-15.3520941340716
92;94081CL0037_01_SEN_ind01.pdf;94081CL0037;1;1;35;19;16;2;33;14;D > 50m;entre 60 et 90;1;1;0;0;11 X 8;6;sous-sol semi enterr;2150546.71951595;2150557.64793616;4.20614166306598;14.2913608462237
93;94081CM0065_02_SEN_ind01.pdf;94081CM0065;2;1;35;17;18;0;35;18;D > 50m;entre 60 et 90;0;0;0;0;26 X 8;4;/;2150270.60850349;2150277.18325634;-37.4992518931912;-29.5960934429091
94;94081CL0068_01_SEN_ind01.pdf;94081CL0068;1;1;35;17;18;2;33;16;30m < D <= 40m;entre 60 et 90;1;0;0;0;8 X 4;3;/;2150364.30630516;2150373.57091202;23.8132054304639;30.0646637964355
95;94081CL0158_01_SEN_ind01.pdf;94081CL0158;1;1;35;17;18;0;35;18;20m < D <= 30m;entre 60 et 90;0;1;0;0;21 X 5;6;/;2150322.59286196;2150348.45175193;25.0217499692294;32.8345580570359
96;94081CM0020_01_SEN_ind01.pdf;94081CM0020;1;1;35;16;19;2;33;17;20m < D <= 30m;entre 60 et 90;1;0;1;0;11 X 9;4;Prsence de sablire;2150232.55687597;2150244.42501189;-7.78878914370184;2.43772263384186
97;94081CK0191_01_SEN_ind01.pdf;94081CK0191;1;1;35;20;15;2;33;13;30m < D <= 40m;entre 60 et 90;1;0;1;0;10 X 8;5;NULL;2150799.3719805;2150812.81464093;27.7952604318481;39.8949690407777
98;94081CK0213_01_SEN_ind01.pdf;94081CK0213;1;1;35;20;15;0;35;15;40m < D <= 50m;entre 60 et 90;0;1;0;0;9 X 9;5;NULL;2150723.99095857;2150738.737377;23.5586520702996;36.024509847379
99;94081CL0074_01_SEN_ind01.pdf;94081CL0074;1;1;35;18;17;2;33;15;D > 50m;entre 60 et 90;1;NULL;1;NULL;10 X 8;6;/;2150454.10894975;2150466.69832101;-26.1570552498006;-12.3798303647975
100;94081CI0015_01_SEN_ind01.pdf;94081CI0015;1;1;35;13;22;2;33;20;10m < D <= 20m;entre 60 et 90;1;1;1;0;11 X 5;6;NULL;2150175.13171444;2150184.06603238;-67.8553966308906;-59.2806428572715
101;94081CK0190_01_SEN_ind01.pdf;94081CK0190;1;1;35;20;15;2;33;13;30m < D <= 40m;entre 60 et 90;1;0;0;0;10 X 8;5;NULL;2150788.49104553;2150800.74938773;28.0103411320194;40.2388643708993
102;94081CK0016_01_SEN_ind01.pdf;94081CK0016;1;1;35;21;14;2;33;12;D > 50m;<30;1;1;1;0;9 X 8;6;/;2150827.08665215;2150838.76217305;7.90409464939575;19.8025375213895
103;94081CL0162_01_SEN_ind01.pdf;94081CL0162;1;1;35;17;18;1;34;17;20m < D <= 30m;entre 60 et 90;1;0;1;0;10 X 8;5;NULL;2150309.17158238;2150321.11917635;15.7079189003144;26.6154266218469
104;94081CL0110_01_SEN_ind01.pdf;94081CL0110;1;1;35;17;18;2;33;16;0m < D <= 10m;entre 60 et 90;1;0;1;0;13 X 9;3;NULL;2150271.44450541;2150283.87000229;25.0054352512083;34.5410928287457
105;94081CJ0066_02_SEN_ind01.pdf;94081CJ0066;2;1;35;21;14;2;33;12;D > 50m;entre 30 et 60;1;1;1;NULL;8 X 7;7;Prsence de sablire;2150937.04758327;2150948.12388441;-56.5213230395674;-45.4498758495192
106;94081CL0042_01_SEN_ind01.pdf;94081CL0042;1;1;35;18;17;2;33;15;D > 50m;entre 60 et 90;1;0;1;0;9 X 8;5;5;/;2150517.51074879;2150528.11542931;-2.44414775365037;7.99746426204622
107;94081CI0019_02_SEN_ind01.pdf;94081CI0019;2;1;35;15;20;0;35;20;40m < D <= 50m;<30;0;0;0;0;11 X 8;4;/;2150172.09023807;2150182.21191358;-47.088458448877;-33.1880034990223
108;94081CJ0074_01_SEN_ind01.pdf;94081CJ0074;1;1;35;21;14;2;33;12;D > 50m;entre 30 et 60;1;0;1;0;8 X 7;6;Prsence de sablire;2150876.44793818;2150886.69684489;10.3194565030523;20.8732874315383
109;94081CM0142_01_SEN_ind01.pdf;94081CM0142;1;1;35;16;19;2;33;17;40m < D <= 50m;entre 60 et 90;1;1;1;0;6 X 4;5;Prsence de sablire;2150228.65285275;2150234.35496118;-16.8724842843002;-6.71723563555088
110;94081CJ0048_01_SEN_ind01.pdf;94081CJ0048;1;1;35;21;14;2;33;12;D > 50m;entre 30 et 60;1;0;1;NULL;9 X 5;9;Prsence de sablire;2150838.18952175;2150848.50577666;-16.2930866350426;-7.5334896036662
111;94081DJ0123_01_SEN_ind01.pdf;94081DJ0123;1;1;35;17;18;ND4;NULL;non dtermin;0m < D <= 10m;<30;?;?;0;0;105 X 40;8;NULL;2151211.83486159;2151253.2206306;1.31229633954557;105.952474880035
112;94081CL0039_01_SEN_ind01.pdf;94081CL0039;1;1;35;18;17;0;35;17;D > 50m;entre 60 et 90;1;1;1;0;11 X 9;8;/;2150482.10730605;2150497.60636853;19.07104822264;31.7663160884484
113;94081CI0265_01_SEN_ind01.pdf;94081CI0265;1;1;35;15;20;3;32;17;20m < D <= 30m;entre 60 et 90;1;1;1;0;9 X 9;6;NULL;2150114.82817042;2150131.06852363;-81.9966616206902;-57.2228025665874
114;94081CI0019_01_SEN_ind01.pdf;94081CI0019;1;1;35;15;20;2;33;18;40m < D <= 50m;<30;1;1;0;0;18 X 11;6;NULL;2150167.97825325;2150186.38289896;-36.7134951792978;-19.2436014457906
