BLDG_CODE;PK_MIN;PK_MAX;D_MIN;D_MAX
940760V0313_01_SEN_ind01.pdf;2129935.691;2129970.344;22.98577979;48.52964707
940760V0152_01_SEN_ind01.pdf;2129936.717;2129948.997;48.38048345;61.47706519
94076BC0161_01_SEN_ind01.pdf;2129576.187;2129587.925;-8.151350094;3.132904363
940760U0174_01_SEN_ind01.pdf;2129757.967;2129770.147;7.396397086;18.10679367
940760U0170_01_SEN_ind01.pdf;2129736.516;2129760.038;5.800469827;16.95886303
94076BC0101_01_SEN_ind01.pdf;2129541.231;2129549.646;5.135452685;16.63430027
940760U0180_01_SEN_ind01.pdf;2129552.033;2129624.22;20.38290765;48.7109724
94076BC0004_02_SEN_ind01.pdf;2129485.354;2129493.798;27.46616834;41.46440252
94076BC0007_02_SEN_ind01.pdf;2129456.217;2129470.958;-21.86487814;-15.44646581
940760U0139_01_SEN_ind01.pdf;2129632.226;2129641.109;14.38583407;25.53498231
940760U0167_01_SEN_ind01.pdf;2129787.347;2129800.509;14.90698919;23.63131101
94076BC0181_01_SEN_ind01.pdf;2129566.243;2129577.737;-3.950196541;8.638364082
94076BC0022_01_SEN_ind01.pdf;2129514.831;2129523.184;12.24840651;20.63679029
94076BC0126_01_SEN_ind01.pdf;2129459.017;2129470.418;-0.616899221;10.94320736
94076BC0177_01_SEN_ind01.pdf;2129586.606;2129597.283;-10.56683366;3.541050572
94076BC0217_01_SEN_ind01.pdf;2129633.929;2129644.034;-21.74652537;-9.981403837
940760V0281_01_SEN_ind01.pdf;2129839.947;2129846.487;21.29647435;32.32147858
94076BC0125_01_SEN_ind01.pdf;2129457.426;2129469.4;-10.6352628;1.024432787
940760V0313_03_SEN_ind01.pdf;2129976.245;2129998.462;22.55376854;37.19168825
94076BC0031_01_SEN_ind01.pdf;2129615.834;2129624.95;-8.589246325;-1.656861973
940760U0176_01_SEN_ind01.pdf;2129774.892;2129787.65;13.97571191;24.48808515
94076BC0183_01_SEN_ind01.pdf;2129506.24;2129514.628;12.60995471;21.5008636
