PK;VOLUME_LOSS;SETTLEMENT_MAX;K_PECK;phi_tun;ci_tun;COB;BLOWUP;P_EPB
2125668.0;0.008791214749688707;0.019159940653106777;0.39892686073296585;25.170081638055045;40.103284806095466;336.2402828727064;478.82000000000005;340.0
2125678.0;0.008409420926694958;0.018402365149881767;0.39953257523349023;25.10085858870062;40.09725227395487;334.1333973592361;475.80000000000007;330.0
2125688.0;0.008507212741555052;0.018692742200827863;0.39985376617811336;25.092660118110793;39.95216415055626;332.23125879800364;473.50000000000006;330.0
2125698.0;0.00865219341366172;0.019087154496091694;0.3999778434658842;25.12494759751365;39.69089459747478;330.5529087110501;471.6600000000001;330.0
2125708.0;0.008730459637137923;0.019330913866275393;0.4002771430956043;25.116297359290517;39.62272641732874;328.94309292921116;469.84000000000003;330.0
2125718.0;0.008720513982256374;0.019396565528739876;0.4005672106880337;25.122509432005376;39.57789650692602;327.5205610068876;468.30000000000007;330.0
2125728.0;0.008643756656935418;0.01930418527664823;0.40063492449876653;25.168969254621448;39.526052223760075;326.97813047801475;468.14;330.0
2125738.0;0.008593531818055302;0.01926555109216892;0.4005862731110677;25.23689321682524;39.436824796370104;326.7629838086573;468.43999999999994;330.0
2125748.0;0.008540166573391095;0.01922556612359214;0.40050862126636644;25.318279197525364;39.37171119924793;326.5787981097355;469.0;330.0
2125758.0;0.00849678352335741;0.01920079717138025;0.40039046672324813;25.40324855918567;39.319391611246445;326.46314671592836;469.5799999999999;330.0
2125768.0;0.008450587167384298;0.019168088220871543;0.4002678966127138;25.48958801236429;39.29902704485582;326.20281873220915;469.84000000000003;330.0
2125778.0;0.008426834891998494;0.019178371088389424;0.40048535013638953;25.48941915189402;39.34199756742867;326.05132811255464;470.22;330.0
2125788.0;0.00841927800491862;0.019220306689042087;0.40095980129212455;25.422200911967476;39.41611972824653;325.80147132968295;470.4799999999999;330.0
2125798.0;0.008383959382225439;0.0192100689948498;0.40137478821405503;25.382056339096216;39.47804338717997;325.1566634365971;470.03999999999996;330.0
2125808.0;0.008880611897212305;0.020406317073974476;0.4015731759047993;25.380397205394384;39.503529659420195;324.5030231644004;469.4800000000001;320.0
2125818.0;0.008814488887484258;0.02032720715702598;0.40170404891818867;25.407869095320926;39.47077171899813;323.52958954265677;468.17999999999995;320.0
2125828.0;0.008734567708284374;0.020220890284316197;0.4018593191950142;25.43635844717636;39.433037143544105;322.35383064904283;466.58000000000004;320.0
2125838.0;0.008643850952423248;0.020095553305541844;0.4019477756867957;25.487587505830962;39.3789757057613;321.00331234080636;464.62;320.0
2125848.0;0.008569759683720143;0.019985539406493096;0.4020077964602594;25.526129353050486;39.29134234036319;319.84727144945964;463.17999999999995;320.0
2125858.0;0.008527005879737475;0.01991650526953147;0.4020188426073;25.549985076148907;39.20946019976685;319.14706978396015;462.4799999999999;320.0
2125868.0;0.008475956590944992;0.019834861920355076;0.40206053998645724;25.573265161692085;39.12271246870286;318.30686811846084;461.6;320.0
2125878.0;0.008443565224279859;0.01977570358285887;0.4020033280872999;25.600149402742836;39.02507976130863;317.73316857524816;461.26;320.0
2125888.0;0.008361713713164253;0.01966637409183026;0.4022117804222967;25.624024278221654;38.924609959923366;316.40996515765215;459.3;320.0
2125898.0;0.008775551238421503;0.020724819670069946;0.4024836784185405;25.63319601568699;38.825057797556646;314.97803075439606;457.34000000000003;310.0
2125908.0;0.008751351449764664;0.02072553190950175;0.4025333381764958;25.66857645910183;38.66952656481026;313.97318353010957;456.0400000000001;310.0
2125918.0;0.008727037148794163;0.02071946874275697;0.4026555363763003;25.6800888354106;38.453591742925965;313.2560395726009;455.05999999999995;310.0
2125928.0;0.008689395022297472;0.020687297819136256;0.40283637330761696;25.684552572869404;38.24487016245878;312.4132716385311;453.94000000000005;310.0
2125938.0;0.008659656402374283;0.020664226600834418;0.40306169162059513;25.671749137180978;38.00542121485705;311.6724666463656;453.06;310.0
2125948.0;0.008615173830679534;0.02062112146609839;0.4033858609671867;25.649176033641023;37.76687172865992;310.6837977229558;451.7800000000001;310.0
2125958.0;0.008579302413640823;0.020587628118213658;0.4036771180844878;25.627754758969328;37.5814173333942;309.8511436447212;450.6;310.0
2125968.0;0.008548183107718913;0.020561882621072523;0.40385267616332704;25.62716690198728;37.379558037685285;309.0707009825217;449.59999999999997;310.0
2125978.0;0.008508683599581296;0.020524246515623307;0.4040601973891809;25.625975580437345;37.21403282044431;308.1438365302689;448.28000000000003;310.0
2125988.0;0.008473469845570583;0.02050172612069568;0.40414369093067865;25.65453519930075;37.03259650279847;307.2148124555662;446.9200000000001;310.0
2125998.0;0.008436285348324765;0.020471116020610598;0.40426549446608695;25.674125831604652;36.83860440308129;306.2458997442219;445.50000000000006;310.0
2126008.0;0.008398929493936764;0.020439919352109964;0.4044278013930403;25.68421146801946;36.66390333561457;305.2689264210875;444.06;310.0
2126018.0;0.008889262313123893;0.021694670732272627;0.40462126423561756;25.68701419709723;36.49743436531592;304.27865688573934;442.6;320.0
2126028.0;0.008851081560628284;0.02166285503912053;0.4048582672309755;25.679564637524184;36.35781188627067;303.1768313533647;441.12;320.0
2126038.0;0.008771207411408959;0.021544473995427405;0.40522545359462736;25.65526506139208;36.26156285503467;301.8253966896044;439.24;320.0
2126048.0;0.00869771526470151;0.02143315658582085;0.40553918566626057;25.636892299416694;36.13536006759247;300.5104666406077;437.54;320.0
2126058.0;0.00860824397850165;0.021306877207273218;0.40598325974071264;25.60890238412041;36.02182072121269;298.9790369618012;435.30000000000007;320.0
