PK;bldg_code;vulnerability;sc_lev;damage_class;settlement_max;tilt_max;esp_h_max
2122088.0;940280D0020_01;;1.0;;;;
2122088.0;940280D0021_01;;2.0;;;;
2122088.0;940280D0025_01;;2.0;;;;
2122088.0;940280D0026_01;;1.0;;;;
2122088.0;940280D0035_01;;3.0;;;;
2122088.0;940280D0049_01;;1.0;;;;
2122088.0;940280L0003_01;;2.0;;;;
2122088.0;940280L0004_02;;1.0;;;;
2122088.0;940280L0005_01;;2.0;;;;
2122088.0;940280L0006_01;;1.0;;;;
2122088.0;940280L0057_01;;2.0;;;;
2122088.0;940280L0092_01;;1.0;;;;
2122088.0;940280L0095_01;;1.0;;;;
2122088.0;940280L0098_01;;1.0;;;;
2122088.0;940280L0099_01;;1.0;;;;
2122088.0;940280L0100_02;;3.0;;;;
2122088.0;940280L0101_01;;1.0;;;;
2122088.0;940280L0109_01;;1.0;;;;
2122088.0;940280L0113_01;;1.0;;;;
2122088.0;940280N0079_01;;1.0;;;;
2122088.0;940280N0114_03;;1.0;;;;
2122088.0;940280N0114_04;;1.0;;;;
2122098.0;940280D0020_01;1.0;1.0;1.0;3.399923158890547e-77;3.779365294668305e-77;4.195888492147952e-76
2122098.0;940280D0021_01;1.0;2.0;1.0;1.0302257512282532e-72;1.1096914709846059e-72;1.211620176401021e-71
2122098.0;940280D0025_01;1.0;2.0;1.0;4.892350501568028e-42;3.929334359024798e-42;3.1660948366972325e-41
2122098.0;940280D0026_01;1.0;1.0;1.0;5.1769049145026e-27;3.253953848160368e-27;2.0216493308322778e-26
2122098.0;940280D0035_01;2.0;3.0;1.0;1.4104898362132292e-45;1.1834853224902685e-45;9.76378074818761e-45
2122098.0;940280D0049_01;1.0;1.0;1.0;7.657273881268805e-59;7.375918514665278e-59;7.070196427726319e-58
2122098.0;940280L0003_01;1.0;2.0;1.0;3.060927318369722e-65;3.1138601844214832e-65;3.062704146530892e-64
2122098.0;940280L0004_02;1.0;1.0;1.0;9.205943504118129e-54;8.44531386072298e-54;7.47226286300994e-53
2122098.0;940280L0005_01;1.0;2.0;1.0;9.232769230696977e-54;8.465152416673335e-54;7.711713471086953e-53
2122098.0;940280L0006_01;1.0;1.0;1.0;5.481015875649551e-29;3.5827056398763143e-29;2.2599839178348573e-28
2122098.0;940280L0057_01;1.0;2.0;1.0;6.544450053266438e-30;4.350332927147098e-30;2.831485136663988e-29
2122098.0;940280L0092_01;1.0;1.0;1.0;2.728203758111567e-29;1.795023811295018e-29;1.124906007670577e-28
2122098.0;940280L0095_01;1.0;1.0;1.0;6.033081439109703e-36;4.443985437384707e-36;3.2236561413357834e-35
2122098.0;940280L0098_01;1.0;1.0;1.0;1.7688475985685885e-52;1.6013040446021165e-52;1.4397583374825807e-51
2122098.0;940280L0099_01;1.0;1.0;1.0;1.5232136791062582e-49;1.3368628650761794e-49;1.1640839103127244e-48
2122098.0;940280L0100_02;2.0;3.0;1.0;3.979090424466336e-39;3.073705003711855e-39;2.2775660790087747e-38
2122098.0;940280L0101_01;1.0;1.0;1.0;6.330656198899754e-45;5.269486429493961e-45;4.343110983051982e-44
2122098.0;940280L0109_01;1.0;1.0;1.0;5.906825316812992e-35;4.2916348663844914e-35;3.1119934051170788e-34
2122098.0;940280L0113_01;1.0;1.0;1.0;9.312450406416062e-42;7.459527224335986e-42;5.993880320791485e-41
2122098.0;940280N0079_01;1.0;1.0;1.0;1.1537483049462726e-10;4.100686194909464e-11;1.3249498774929863e-10
2122098.0;940280N0114_03;1.0;1.0;1.0;7.827723005792467e-07;1.9956810295707688e-07;4.100247917882515e-07
2122098.0;940280N0114_04;1.0;1.0;1.0;3.01024735040715e-18;1.5033070650290511e-18;7.015167860241273e-18
2122108.0;940280D0020_01;1.0;1.0;1.0;2.1128536583310972e-77;2.355688738960185e-77;2.6170670215265337e-76
2122108.0;940280D0021_01;1.0;2.0;1.0;6.78227570726249e-73;7.327292508649398e-73;8.008476058048838e-72
2122108.0;940280D0025_01;1.0;2.0;1.0;3.977545873786651e-42;3.2041174672994886e-42;2.5843447022089627e-41
2122108.0;940280D0026_01;1.0;1.0;1.0;4.6607368262701475e-27;2.9381813375165067e-27;1.827270889410346e-26
2122108.0;940280D0035_01;2.0;3.0;1.0;1.0893932275624858e-45;9.167913785308122e-46;7.567347096705563e-45
2122108.0;940280D0049_01;1.0;1.0;1.0;5.404132186999301e-59;5.221124804674211e-59;5.008072847353611e-58
2122108.0;940280L0003_01;1.0;2.0;1.0;2.0668802172267117e-65;2.108912651310492e-65;2.0742886056652707e-64
2122108.0;940280L0004_02;1.0;1.0;1.0;6.724581354899152e-54;6.187394678570872e-54;5.474568461613475e-53
2122108.0;940280L0005_01;1.0;2.0;1.0;6.736388536917968e-54;6.194768163443225e-54;5.647185722598939e-53
2122108.0;940280L0006_01;1.0;1.0;1.0;4.7450813697168397e-29;3.1108423207546193e-29;1.9629997159016662e-28
2122108.0;940280L0057_01;1.0;2.0;1.0;5.625332399345029e-30;3.750443595934119e-30;2.4426576877281442e-29
2122108.0;940280L0092_01;1.0;1.0;1.0;2.3586719029835165e-29;1.55648660867982e-29;9.754445521122901e-29
2122108.0;940280L0095_01;1.0;1.0;1.0;4.9762221947999303e-36;3.6763953912898253e-36;2.668624980808472e-35
2122108.0;940280L0098_01;1.0;1.0;1.0;1.3025111500350695e-52;1.1826593618473596e-52;1.0640604671801806e-51
