ID_bati;Typologie;PK début;PK fin;Distance horizontale minimale à l'axe du tunnel;Distance horizontale maximale à l'axe du tunnel;PK début;PK fin;Distance horizontale minimale à l'axe du tunnel;Distance horizontale maximale à l'axe du tunnel;Classe de sensibilité;Classe de dommage;Vulnérablité;Settlement max;Tilt max;Esp h max;Classe de dommage base;Vulnérablité base;Settlement max base;Tilt max base;Esp h max base
94028BC00CU_03;underground_utility;2122716.38302;2122720.19679;-2.62408034583;0.171036833738;None;None;None;None;2.0;1.0;1.0;10.0543022555;0.290223094041;0.464278806742;1.0;1.0;10.0543022555;0.290223094041;0.464278806742
94028BC00CU_02;underground_utility;2122693.6889;2122718.59944;0.16049648675;14.0462735043;None;None;None;None;2.0;1.0;1.0;9.97728044651;0.608306892117;0.47831411024;1.0;1.0;9.97728044651;0.608306892117;0.47831411024
94028BCOAA_016;overground_infrastructure;2122284.45724;2122309.10747;-51.353120048;10.4931888712;None;None;None;None;2.0;1.0;1.0;11.7408277257;0.555428291854;0.353745927596;1.0;1.0;11.7408277257;0.555428291854;0.353745927596
94081CL0062_01;building;None;None;None;None;2150468.8337;2150479.87763;0.740691590178;12.4441430446;1.0;1.0;1.0;9.2151077795;0.48562520732;0.336564590382;1.0;1.0;9.2151077795;0.48562520732;0.336564590382
94081CL0076_01;building;None;None;None;None;2150470.92006;2150481.35432;-39.0431074379;-25.510196601;2.0;1.0;1.0;0.913204360707;0.15219888078;0.119097342859;1.0;1.0;0.913204360707;0.15219888078;0.119097342859
94081CL0039_01;building;None;None;None;None;2150482.1073;2150497.60637;19.0710485077;31.766311297;1.0;1.0;1.0;2.5937220052;0.344656711177;0.160881627496;1.0;1.0;2.5937220052;0.344656711177;0.160881627496
94081CL0060_01;building;None;None;None;None;2150486.58291;2150498.71633;-16.7009103587;-3.90268226039;1.0;1.0;1.0;8.40562248897;0.471741343123;0.252708199228;1.0;1.0;8.40562248897;0.471741343123;0.252708199228
94081CL0161_01;building;None;None;None;None;2150482.33204;2150504.08041;-3.68852111185;16.3367810998;1.0;1.0;1.0;9.91377937889;0.51590840837;0.395759607843;1.0;1.0;9.91377937889;0.51590840837;0.395759607843
94081CL0160_01;building;None;None;None;None;2150493.7857;2150510.06267;12.3524892455;24.9420199509;1.0;1.0;1.0;4.96420740974;0.468512280752;0.124383690701;1.0;1.0;4.96420740974;0.468512280752;0.124383690701
94081CL0059_01;building;None;None;None;None;2150502.60411;2150510.90383;-19.9615279603;-8.61037904511;1.0;1.0;1.0;6.85524223881;0.486357575025;0.126010525354;1.0;1.0;6.85524223881;0.486357575025;0.126010525354
94081CL0041_01;building;None;None;None;None;2150512.00526;2150523.17492;5.50360066685;14.8859945791;1.0;1.0;1.0;8.32843743658;0.494001597191;0.217803206749;1.0;1.0;8.32843743658;0.494001597191;0.217803206749
94081CL0042_01;building;None;None;None;None;2150517.51075;2150528.11543;-2.4441467163;7.99746413705;1.0;1.0;1.0;9.52243939001;0.46708088765;0.322582230493;1.0;1.0;9.52243939001;0.46708088765;0.322582230493
94081CL0171_01;building;None;None;None;None;2150518.91068;2150535.19957;30.5730845275;46.0733169439;1.0;1.0;1.0;0.408014977501;0.0773344594794;0.0718664530798;1.0;1.0;0.408014977501;0.0773344594794;0.0718664530798
94081CL0043_01;building;None;None;None;None;2150522.38172;2150534.32063;-16.8851667042;-4.34814586184;1.0;1.0;1.0;8.91519747259;0.504081284841;0.258311102562;1.0;1.0;8.91519747259;0.504081284841;0.258311102562
94081CL0170_02;building;None;None;None;None;2150528.46072;2150540.6263;22.1724758291;32.6716238194;1.0;1.0;1.0;1.70958637307;0.254529614262;0.136921258439;1.0;1.0;1.70958637307;0.254529614262;0.136921258439
94081CL0036_01;building;None;None;None;None;2150531.83448;2150547.88064;11.6094213244;26.3745787208;1.0;1.0;1.0;6.17337713361;0.545358072705;0.142515703455;1.0;1.0;6.17337713361;0.545358072705;0.142515703455
94081CL0153_01;building;None;None;None;None;2150537.83767;2150549.77477;-33.6368679374;-19.2649808252;1.0;1.0;1.0;2.45635737701;0.32876954724;0.133767800722;1.0;1.0;2.45635737701;0.32876954724;0.133767800722
94081CL0044_01;building;None;None;None;None;2150536.47872;2150547.32956;-20.8018748142;-8.17648264436;1.0;1.0;1.0;7.53145863317;0.515046584161;0.133767820858;1.0;1.0;7.53145863317;0.515046584161;0.133767820858
94081CL0037_01;building;None;None;None;None;2150546.71952;2150557.64794;4.20613793784;14.2913654006;1.0;1.0;1.0;9.63350588042;0.539607271177;0.281677605269;1.0;1.0;9.63350588042;0.539607271177;0.281677605269
