ID_bati;PK début;PK fin;Distance horizontale minimale à l'axe du tunnel;Distance horizontale maximale à l'axe du tunnel;PK début;PK fin;Distance horizontale minimale à l'axe du tunnel;Distance horizontale maximale à l'axe du tunnel;Classe de sensibilité;Classe de dommage;Vulnérablité;Settlement max;Tilt max;Esp h max;Classe de dommage base;Vulnérablité base;Settlement max base;Tilt max base;Esp h max base;Classe de dommage - Vibration;Vulnérablité - Vibration;Vitessse de vibration
940280L0005_01;2122088.0;2122088.0;247.275181459;257.846030059;None;None;None;None;2.0;1.0;1.0;8.72001867289e-51;7.98421300575e-51;7.27545937616e-50;1.0;1.0;8.72001867289e-51;7.98421300575e-51;7.27545937616e-50;1.0;1.0;0.00510001144246
940280L0006_01;2122088.0;2122088.0;174.830505179;183.165750941;None;None;None;None;1.0;1.0;1.0;4.59682038764e-26;3.00118352163e-26;1.89443208821e-25;1.0;1.0;4.59682038764e-26;3.00118352163e-26;1.89443208821e-25;1.0;1.0;0.00818810766751
940280L0057_01;2122088.0;2122088.0;178.957093669;193.886745939;None;None;None;None;2.0;1.0;1.0;5.49889473177e-27;3.65101904779e-27;2.3773998759e-26;1.0;1.0;5.49889473177e-27;3.65101904779e-27;2.3773998759e-26;1.0;1.0;0.00800408964026
940280L0092_01;2122088.0;2122088.0;176.024931416;206.857515806;None;None;None;None;1.0;1.0;1.0;2.2830349223e-26;1.50037699977e-26;9.41124096193e-26;1.0;1.0;2.2830349223e-26;1.50037699977e-26;9.41124096193e-26;1.0;1.0;0.00810458664425
940280L0095_01;2122088.0;2122088.0;197.728799581;210.771251212;None;None;None;None;1.0;1.0;1.0;5.15384969192e-33;3.79167060302e-33;2.7515427242e-32;1.0;1.0;5.15384969192e-33;3.79167060302e-33;2.7515427242e-32;1.0;1.0;0.0069282860028
940280L0098_01;2122088.0;2122088.0;244.103453579;256.415735357;None;None;None;None;1.0;1.0;1.0;1.58717598512e-49;1.43493148247e-49;1.29053676116e-48;1.0;1.0;1.58717598512e-49;1.43493148247e-49;1.29053676116e-48;1.0;1.0;0.00519118475475
940280L0099_01;2122088.0;2122088.0;236.829059443;246.4281274;None;None;None;None;1.0;1.0;1.0;1.35561092562e-46;1.18819588595e-46;1.03493591838e-45;1.0;1.0;1.35561092562e-46;1.18819588595e-46;1.03493591838e-45;1.0;1.0;0.00542086419283
940280L0100_01;2122088.0;2122088.0;208.27192719;214.734661763;None;None;None;None;1.0;1.0;1.0;2.96328697711e-36;2.28618866684e-36;1.74376812067e-35;1.0;1.0;2.96328697711e-36;2.28618866684e-36;1.74376812067e-35;1.0;1.0;0.00648125880762
940280L0100_02;2122088.0;2122088.0;209.741608562;216.634950206;None;None;None;None;3.0;1.0;2.0;6.58442290709e-37;5.13076694499e-37;3.84453950141e-36;1.0;2.0;6.58442290709e-37;5.13076694499e-37;3.84453950141e-36;1.0;2.0;0.00638251247448
940280L0100_03;2122088.0;2122088.0;218.752294622;228.386691667;None;None;None;None;3.0;1.0;2.0;6.014456989e-38;4.75213380879e-38;3.61240408325e-37;1.0;2.0;6.014456989e-38;4.75213380879e-38;3.61240408325e-37;1.0;2.0;0.00625977546426
