code;imin;imax;Emin;Emax;phimin;phimax;cmin;cmax;Cumin;Cumax;kmin;kmax;k0min;k0max;n;inom;etounnel;phi_tr;c_tr;k0
Rp;17.45;17.45;18.36;18.36;36.11;36.11;10.59;10.59;-;-;-;-;0.4106;0.4106;0.3;17.45;18.36;36.11;10.59;0.4106
Sbl;17.89;17.89;41.23;41.23;31.12;31.12;4.46;4.46;50;50;0.00001;0.00001;0.4832;0.4832;0.3;17.89;41.23;31.12;4.46;0.4832
Sb;19.45;19.45;58.95;58.95;35.34;35.34;2.23;2.23;50;50;0.0001;0.0001;0.4216;0.4216;0.3;19.45;58.95;35.34;2.23;0.4216
Agm;19.45;19.45;100.3;100.3;18.12;18.12;16.7;16.7;100;100;-;-;0.689;0.689;0.3;19.45;100.3;18.12;16.7;0.689
Limi;18.67;18.67;26.74;26.74;30.45;30.45;4.46;4.46;150;150;0.00001;0.00001;0.4933;0.4933;0.3;18.67;26.74;30.45;4.46;0.4933
Al;19.45;19.45;44.61;44.61;38.45;38.45;1.12;1.12;-;-;0.00001;0.00001;0.3782;0.3782;0.3;19.45;44.61;38.45;1.12;0.3782
Bvlc;19.89;19.89;72.35;72.35;41.11;41.11;6.7;6.7;-;-;0.00001;0.00001;0.3424;0.3424;0.3;19.89;72.35;41.11;6.7;0.3424
La;22.89;22.89;5000;5000;49.69;49.69;244.77;244.77;-;-;0.001;0.001;0.2374;0.2374;0.3;22.89;5000;49.69;244.77;0.2374
Lbb;22.89;22.89;5000;5000;49.69;49.69;244.77;244.77;-;-;0.001;0.001;0.2374;0.2374;0.3;22.89;5000;49.69;244.77;0.2374
L1669;22.89;22.89;5000;5000;49.69;49.69;244.77;244.77;-;-;0.001;0.001;0.2374;0.2374;0.3;22.89;5000;49.69;244.77;0.2374
Sbv;18.89;18.89;48.94;48.94;33.12;33.12;2.23;2.23;-;-;0.00001;0.00001;0.4536;0.4536;0.3;18.89;48.94;33.12;2.23;0.4536
P;19.45;19.45;58.94;58.94;26.12;26.12;1.12;1.12;-;-;0.0001;0.0001;0.5598;0.5598;0.3;19.45;58.94;26.12;1.12;0.5598
