bldg_code;depth_fondation;z_fondation;elev_med;height_overground;typology;sc_lev;pk_min;pk_max;d_min;d_max
28;3.01;37.5;40.50966713;15;building;1;2797.530408;2850.675941;-10.71323881;50.57754111
29;2.71;38.1;40.80868852;10;building;1;2831.065797;2886.951963;8.465333836;66.87353996
30;3.10;36.7;39.7968353;6.5;building;1;2851.480829;2874.013658;3.006989412;23.60212013
31;4.54;35.3;39.83511503;14;building;1;2779.353107;2832.577377;-49.17541795;-2.920480571
32;5.33;34.35;39.67641361;28;building;1;2818.821224;2862.323371;-30.16105699;-3.962852383
33;0;43.9;41.27707932;4;building;1;2860.099735;2898.016069;-43.62212671;17.74889625
34;0;44.8;43.79130482;8;building;1;2905.211366;2919.959167;21.92569599;33.58257741
35;0.65;43.9;44.54977621;5.5;building;1;2912.493585;2941.646592;-45.56533224;19.94295187
36;2.24;43.95;46.1935382;6;building;1;2939.118783;2969.1015;26.73508059;60.35878578
37;2.50;44.6;47.09859448;18.5;building;1;2984.62478;2993.996008;11.64548931;38.65879333
38;0.04;45.3;45.34483345;30.5;building;1;2946.994427;3005.902967;-55.48035158;3.823003212
39;3.35;44.3;47.65226628;15;building;1;3004.589972;3018.206658;1.48715289;15.68253739
40;2.15;45.05;47.19785593;19;building;1;3006.687846;3020.916504;-42.94438543;-1.99351405
41;1.69;46.5;48.19383482;6;building;1;3020.819137;3056.963353;23.57189862;44.59553594
42;3.73;44;47.72842813;17;building;1;3051.640462;3075.138686;-22.81216214;5.448141757
43;3.67;44.5;48.16791157;5;building;1;3047.788025;3090.470171;1.127315572;62.00364883
44;1.81;46.65;48.46357085;6;building;1;3067.187215;3119.948646;28.3070027;75.35319583
45;0.78;47.3;48.08119649;4;building;1;3090.012303;3102.145199;26.63528468;33.89738254
46;0.38;47.5;47.87602383;4;building;1;3092.62333;3117.977207;7.006143634;27.88339902
47;2.01;45.5;47.51340757;9.5;building;1;3081.165665;3144.162388;-29.36772338;11.25774586
48;2.77;45.6;48.365383;10;building;1;3115.633296;3145.988397;0.157271569;62.39463531
49;1.99;46.65;48.64229275;14.5;building;1;3133.506634;3199.482686;13.44171576;72.4214638
50;0.25;43.95;44.20202826;19.5;building;1;3158.346579;3233.590996;-70.88502266;13.42271028
51;1.16;43.2;44.35588686;11.5;building;1;3215.565988;3259.36259;-46.44224581;6.677724931
52;2.69;42.05;44.74368082;21;building;1;3198.228968;3298.893535;-5.851306179;57.36305476
53;2.44;41.4;43.83515985;13;building;1;3253.374394;3288.950578;-33.2342179;4.757091136
54;0.38;43.7;44.07814369;3;building;1;3280.198855;3294.63301;0.03400766;16.76519868
55;4.48;36.25;40.73032448;14;building;1;3269.708544;3307.247633;-53.37657246;-25.88950059
56;0;43.25;42.4193643;17;building;1;3294.536675;3305.190227;-20.92085879;-7.224470129
57;0;41.8;41.40322887;3.5;building;1;3305.117293;3323.762411;-32.43788088;-1.479524663
