ID;Descrizione;PK;x;y;z
progetto;progetto;3636.58;2526411.18;4150489.80;21.08
progetto;progetto;3646.58;2526402.89;4150484.20;21.06
progetto;progetto;3656.58;2526394.60;4150478.61;21.04
progetto;progetto;3666.58;2526386.32;4150473.01;21.02
progetto;progetto;3676.58;2526378.03;4150467.42;21.00
progetto;progetto;3686.58;2526369.74;4150461.83;20.98
progetto;progetto;3696.58;2526361.45;4150456.23;20.96
progetto;progetto;3706.58;2526353.16;4150450.64;20.94
progetto;progetto;3716.58;2526344.87;4150445.05;20.92
progetto;progetto;3726.58;2526336.58;4150439.45;20.90
progetto;progetto;3736.58;2526328.29;4150433.86;20.88
progetto;progetto;3746.58;2526320.00;4150428.26;20.86
progetto;progetto;3756.58;2526311.71;4150422.67;20.83
progetto;progetto;3766.58;2526303.42;4150417.08;20.81
progetto;progetto;3776.58;2526295.13;4150411.48;20.79
progetto;progetto;3786.58;2526286.85;4150405.89;20.77
progetto;progetto;3796.58;2526278.56;4150400.30;20.75
progetto;progetto;3806.58;2526270.27;4150394.70;20.73
progetto;progetto;3816.58;2526261.98;4150389.11;20.71
progetto;progetto;3826.58;2526253.69;4150383.52;20.69
progetto;progetto;3836.58;2526245.40;4150377.92;20.67
progetto;progetto;3846.58;2526237.11;4150372.33;20.65
progetto;progetto;3856.58;2526228.82;4150366.73;20.63
progetto;progetto;3866.58;2526220.53;4150361.14;20.61
progetto;progetto;3876.58;2526212.24;4150355.55;20.59
progetto;progetto;3886.58;2526203.95;4150349.95;20.57
progetto;progetto;3896.58;2526195.66;4150344.36;20.55
progetto;progetto;3906.58;2526187.38;4150338.77;20.53
progetto;progetto;3916.58;2526179.09;4150333.17;20.51
progetto;progetto;3926.58;2526170.80;4150327.58;20.49
progetto;progetto;3936.58;2526162.51;4150321.98;20.47
progetto;progetto;3946.58;2526154.22;4150316.39;20.45
progetto;progetto;3956.58;2526145.93;4150310.80;20.43
progetto;progetto;3966.58;2526137.64;4150305.20;20.41
progetto;progetto;3976.58;2526129.35;4150299.61;20.39
progetto;progetto;3986.58;2526121.06;4150294.02;20.37
progetto;progetto;3996.58;2526112.77;4150288.42;20.35
progetto;progetto;4006.58;2526104.48;4150282.83;20.33
progetto;progetto;4016.58;2526096.19;4150277.24;20.30
progetto;progetto;4026.58;2526087.91;4150271.64;20.28
progetto;progetto;4036.58;2526079.62;4150266.05;20.26
progetto;progetto;4046.58;2526071.33;4150260.45;20.24
progetto;progetto;4056.58;2526063.04;4150254.86;20.22
progetto;progetto;4066.58;2526054.75;4150249.27;20.20
progetto;progetto;4076.58;2526046.46;4150243.67;20.18
progetto;progetto;4086.58;2526038.17;4150238.08;20.16
progetto;progetto;4096.58;2526029.88;4150232.49;20.14
progetto;progetto;4106.58;2526021.59;4150226.89;20.13
progetto;progetto;4116.58;2526013.24;4150221.40;20.13
progetto;progetto;4126.58;2526004.71;4150216.17;20.13
progetto;progetto;4136.58;2525996.02;4150211.23;20.13
progetto;progetto;4146.58;2525987.17;4150206.58;20.13
progetto;progetto;4156.58;2525978.16;4150202.23;20.13
progetto;progetto;4166.58;2525969.02;4150198.18;20.13
progetto;progetto;4176.58;2525959.75;4150194.44;20.13
progetto;progetto;4186.58;2525950.35;4150191.01;20.13
progetto;progetto;4196.58;2525940.85;4150187.89;20.13
progetto;progetto;4206.58;2525931.27;4150185.03;20.13
progetto;progetto;4216.58;2525921.67;4150182.22;20.13
progetto;progetto;4226.58;2525912.08;4150179.41;20.13
progetto;progetto;4236.58;2525902.43;4150176.76;20.13
progetto;progetto;4246.58;2525892.71;4150174.43;20.13
progetto;progetto;4256.58;2525882.91;4150172.42;20.13
progetto;progetto;4266.58;2525873.06;4150170.74;20.13
progetto;progetto;4276.58;2525863.15;4150169.39;20.13
progetto;progetto;4286.58;2525853.20;4150168.37;20.13
progetto;progetto;4296.58;2525843.23;4150167.68;20.13
progetto;progetto;4306.58;2525833.23;4150167.33;20.13
progetto;progetto;4316.58;2525823.23;4150167.30;20.13
progetto;progetto;4326.58;2525813.24;4150167.62;20.13
progetto;progetto;4336.58;2525803.26;4150168.26;20.13
progetto;progetto;4346.58;2525793.31;4150169.24;20.13
progetto;progetto;4356.58;2525783.39;4150170.55;20.13
progetto;progetto;4366.58;2525773.53;4150172.17;20.13
progetto;progetto;4376.58;2525763.68;4150173.89;20.13
