ID;Descrizione;PK;excav_diameter;bead_thickness;taper;tail_skin_thickness;delta;gamma_muck;shield_length;pressure_max
TBM1;TBM Unica di Progetto;2556.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2566.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2576.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2586.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2596.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2606.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2616.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2626.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2636.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2646.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2656.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2666.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2676.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2686.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2696.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2706.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2716.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2726.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2736.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2746.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2756.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2766.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2776.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2786.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2796.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2806.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2816.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2826.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2836.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2846.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2856.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2866.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2876.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2886.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2896.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2906.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2916.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2926.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2936.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2946.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2956.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2966.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2976.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2986.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;2996.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3006.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3016.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3026.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3036.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3046.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3056.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3066.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3076.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3086.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3096.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3106.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3116.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3126.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3136.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3146.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3156.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3166.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3176.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3186.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3196.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3206.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3216.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3226.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3236.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3246.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3256.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3266.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3276.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3286.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3296.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3306.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3316.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3326.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3336.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3346.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3356.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
TBM1;TBM Unica di Progetto;3366.58;10.6;0.03;0.04;0.06;0.105;14;11.85;270
