ID;Descrizione;PK;Excavation Radius;Lining Internal Radius;Lining Thickness;Lining Offset
Profilo Progetto;Sezione Base;2786.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2796.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2806.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2816.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2826.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2836.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2846.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2856.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2866.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2876.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2886.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2896.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2906.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2916.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2926.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2936.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2946.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2956.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2966.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2976.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2986.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;2996.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3006.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3016.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3026.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3036.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3046.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3056.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3066.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3076.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3086.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3096.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3106.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3116.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3126.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3136.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3146.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3156.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3166.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3176.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3186.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3196.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3206.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3216.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3226.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3236.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3246.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3256.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3266.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3276.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3286.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3296.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3306.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3316.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3326.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3336.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3346.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3356.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3366.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3376.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3386.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3396.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3406.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3416.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3426.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3436.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3446.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3456.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3466.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3476.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3486.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3496.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3506.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3516.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3526.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3536.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3546.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3556.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3566.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3576.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3586.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3596.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3606.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3616.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3626.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3636.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3646.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3656.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3666.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3676.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3686.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3696.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3706.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3716.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3726.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3736.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3746.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3756.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3766.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3776.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3786.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3796.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3806.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3816.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3826.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3836.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3846.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3856.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3866.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3876.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3886.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3896.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3906.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3916.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3926.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3936.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3946.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3956.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3966.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3976.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3986.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;3996.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;4006.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;4016.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;4026.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;4036.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;4046.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;4056.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;4066.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;4076.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;4086.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;4096.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;4106.58;5.3;4.8;0.32;2.8
Profilo Progetto;Sezione Base;4116.58;5.3;4.8;0.32;2.8
